title,category,multiclass,content
FOI pirmado na!,P,5,nilagdaan pangulong rodrigo duterte executive order eo freedom information foi executive branch presidential communications office secretary martin andanar andanar eo isinapinal nilagdaan noong sabado gabi matapos diskusyon nina presidential legal counsel secretary salvador panelo executive secretary salvador medialdea undersec jesus quitain pinirmahan duterte eo araw kauna-unahang state nation address ngayong hapon nasabing eo tanggapan gobyerno ehekutibo magbibigay impormasyon official records pang pang public documents sinumang pinoy gustong makakuha
Brazilian football team kasama sa plane crash,D,1,pinaniniwalaang nasawing sakay eroplano kabilang buong brazilian football team makaraang bumagsak bansang colombia ulat patuloy search rescue ope ration awtoridad bumagsak british aerospace lulang pasahero crew kabilang brazilian football team chapecoense kasalukuyan -katao nakuha lugar pinagbagsakan eroplano ligtas nanggaling chartered flight bolivia patungo sanang medellin colombia mangyari trahedya bundok la union patungong colombia brazilian football team nakatakda sanang harapin atletico nacional colombia unang game copa sudamericana twitter account jose maria cordova de rionegro airport medellin mayroong nakaligltas insidente inaalam confirmed aircraft license number cp carrying team chapecoensereal apparently survivors jose maria cordova de rionegro airport officials
"Housing czar, malaking hamon kay VP Leni",EC,3,trabaho obligasyong inaatrasan vice president leni robredo agad nitong tinanggap alok pangulong rodrigo digong duterte pamunuan housing urban development coordinating council hudcc aminado pinakamalaking hamon titulo housing czar napakalaking pangangailangan abot-kaya disenteng pabahay mahihirap gayong napakaliit pondo tanggapan million houses million families halu- halo merong either victims calamities merong homeless meron yung nakatira dilapidated houses tirahan halo aralin ba status naumpisahan ba on-going ba tingin target nandoon end six years least sana ma-satisfy yung backlog backlog klaro yung yung projected magkakaroon additional million yata yun pangangailangan laking challenge konti lang naman budget opisina yun paliwanag patungkol naman karagdang budget sinabi vp leni humirit dagdag pondo samantala ikinatuwa simbahang katolika pagtatalaga cabinet post vp leni tiniyak man kaalyado huli tiyak magiging asset kasalukuyang administrasyon father edwin gariguez executive secretary national secretariat social action justice peace nassa catholic bishops conference philippines cbcp tradisyunal pulitiko maganda background robredo pagseserbisyo publiko robredo strength need country
Palasyo abot ang bilin kay Duterte sa WPS,P,5,umapela admi nistrasyong aquino incoming administration president-elect rodrigo duterte itaguyod interes sambayanang filipino isyu territorial dispute south china sea panawagan presidential communications operations office pcoo secretary herminio coloma jr yong malinaw maaabutan outgoing administration magi ging desisyon arbitral tribunal isinampang kaso pilipinas china kundi admi nistrasyon duterte
"Baguio City, N. Vizcaya nilindol",D,1,magkakasunod pagyanig kahapon naitala philippine institute volcanology seismology phivolcs lalawigan bansa pinakamalakas naram daman nueva vizcaya baguio city nauna magnitude mabinay negros oriental bandang ala- madaling-araw sinundan magnitude hinobaan negros occidental bandang ala- ganap namang alas- gov generoso davao magnitude bandang alas- humirit la kas pagyanig baguio nueva vizcaya lakas magnitude naramdaman baguio city lakas magnitude ganap alas- umaga naiulat muling pagyanig aftershock lakas magnitude nasabi lugar cesario sal va dor phivolcs ba guio naitala sentro lindol ambaguio nueva vizcaya inihayag opisyal lalim itong kilometro naram daman kilometro silangang hilaga nueva vizcaya wala namang naiulat nasugatan napinsalang istruktura lungsod pumalo intensity lakas nagdulot pagkatakot residente naganap killer quake
3M PINOY SA US DELIKADO SA PANALO NI TRUMP,P,5,nasilat republican presidential candidate donald trump democratic candidate hillary clinton ika- pangulo estados unidos botong electoral votes nakuha trump panalo pambato democratic party dating secretary state clinton nakakuha electoral votes personal tinawagan clinton trump upang batiin panalo tanggapin pagkabigo eleksyon napanalunan political experience trump -anyos estado bunsod panalo trump kilalang anti-immigrant delikado umanong mapauwi milyong filipino ilegal nakatira amerika kampanya lang lagi dinidiinan anti-immigrant must watchful giving three million filipinos amerika yan illegal immigrant acts-ofw aniceto john bertiz nanga ngamba mambabatas nagsimu la trump panu nungkulan enero sisimulan paglilinis illegal migrant bansa tanong prepared trump foreign policy migrant bertiz samantala nagpa abot mainit pagbati pangulong rodrigo duterte pagkaka panalo donald trump bagong presidente amerika
"TALBOG!!!: MIKA, MAS MAGANDA ‘PAG WALANG MAKE UP!",E,2,na-amaze simplicity beauty kapuso actress mika dela cruz make-up mabibighani talaga iniisip leading men meant maaakit dalaga magiging karibal barbie forteza siyang pinag-aagawan exciting cha racter mika mariko wait malaman istorya pina kabagong kapuso primetime series naintriga sagot kristoffer martin tanungin regalo hahamakin co-star joyce ching nu birthday kamakailan pagmamahal kasi yun binibili yun binibigay yun freely chose give love freely sagot tanong tuloy gumugulo eksena gma afternoon prime series mag-asawa chance muling magkabalikan taas tv ratings noong binigo gma network loyal viewers year-end surprises magic christmas lipad new year countdown mainit itong tinanggap kapuso viewers last december respectively bukod amazing performances kani-kanilang brightest hottest stars tinilian fans pasabog upcoming shows kapuso network balita kasama specials listahan highest-rating shows nutam noong base nielsen data talaga tatak kapuso
Mindanao umuga,D,1,niyanig magnitude lindol bahagi mindanao kahapon umaga philippine volcanology seismology phivolcs ganap alas- umaga itong mai-record phivolcs natukoy epicenter lindol km hilagang kanluran talacogon agusan del sur lalim itong kilometro tectonic pinagmulan narandaman intensity v butuan city talacogon agusan del sur intensity iv gingoog city misamis oriental intensity iii cagayan de oro city naramdaman intensity ii malaybalay city valencia bukidnon intensity mambajao camiguin naitala phivolcs instrumental intensity intensity ii bislig city cagayan de oro city intensity kidapawan city cebu city alabel sarangani wala naman naitala mang naapektuhan nasirang establisyemento lugar nakaranas instensity lindol
$24-B investment deals ng China,EC,3,beijing china umaabot mahigit bilyon halaga kontrata investment contracts nalikom delegasyon pangulong rodrigo duterte state visit china kinompirma trade secretary ramon lopez sinabi francis chua presidente philippine chamber commerce industries pcci inihahabol pang kontrata chinese investors chua kasama business delegation pangulong duterte kabilang ilalaan mining impraestruktura power energy sector inihayag chua kasamahan pcci nakakorner bilyon kontrata pagtatayo coal-powered plant bansa bilyon inialok bank china loan facility malalaki maliliit negosyante bansa handang dagdagan kukulangin
Tattoo artist inasinta sa ulo,C,0,dead-on-the-spot tattoo artist matapos asintahin ulo bistayin bala nakikilalang riding-in-tandem kahapon pasay city kinilala pasay city police biktimang ronald luce alyas buto residente th street manlumas villamor air base brgy report pasay city police naganap insidente alas-otso umaga harapan villamor airbase elementary school panulukan poccio garden brgy lungsod hinatid umano biktima anak naturang paraalan kasama live-in partner aiza abanilla sakay yamaha motorcycle maihatid ipinarada muna biktima harapan gate paaralan motorsiklo hinihintay ka-live-in biglang dumating lalaking nakamaskara bumaril ulo luce agaran nitong kamatayan agad namang tumakas suspek naglakad lumitaw record pulisya biktima umano number listahan drug pusher lungsod
