title,category,content
PAISTARAN: ALDEN-MAINE SURE NA ANG PAKILIG SA SINE!,E,"Isang simpleng tsikahan, pananghalian, lang talaga `yon, na pasasalamat na nga rin ni Mr. Tony Tuviera, ang puso, utak ng Eat Bulaga, APT, at marami pang iba, para sa entertainment editors, sa imbitasyon ni Mr. Butch Raquel.,Pero, dahil minsan lang makaharap ng ­showbiz media ang henyo ng Philippine TV, hindi talaga ­naiwasan na interbyuhin na rin ang kilalang ­malumanay magsalita na si Mr. T.,At siyempre, may kinalaman kina Maine ­Mendoza at Alden Richards, pati na kina Marian Rivera, at Kris Aquino ang tanong.,Paano na ang AlDub sa Eat Bulaga? Ngayong busy na ang dalawa sa pagti-taping ng Destined To Be Yours.,“Nababawasan na ­talaga ang exposure nila dahil nagti-taping sila 3 times a week, eh. Tapos, lalo na ngayon, malapit na siguro ang airing nila, so nababawasan ­talaga. And then, eventually, ­after ng teleserye, ‘yun siguro ang time na ­babalik sila.,“But they will try to appear every once or twice a week. But definitely before the launch siguro, kokonti pa nang kokonti ang ­pag-appear nila sa Eat Bulaga,” bungad na sabi ni Mr. T., Nakaapekto ba ito sa ratings ng Eat ­Bulaga? Na hindi masyadong nakikita ang dalawa sa show nila?,“So far, hindi ­naman talaga ano… Kasi even before AlDub, we were doing very well… Kaya lang, naging, when ­AlDub came in to the ­picture, ibang klase talaga ang ­nangyari.,“And we cannot really expect to be there palagi (na ganung kataas ang ­ratings)… And a lot of people are saying din na hindi tatagal ng 3 months or 6 months ang AlDub.,“Eh, magtu-2 years na sila sa July. So, I think, successful kami in a way na, na to let them stay there on a certain level. Nakakatuwa…”,So, ‘pag Sabado na lang sila sa Eat Bulaga?,“Hindi masigurado ngayon, kasi location din sila. Ang layo ng location nila.”,Hinahanap na sila ng mga fans nila sa Eat Bulaga…,“Naghahanap nga ang mga fans ngayon. Kaya we try to make sure na dapat makita pa rin sila kahit once a week.”,May movie na ba na gagawin ang AlDub?,“May naka-line up kaming isa this year. Silang dalawa.,“Wala pang concept. Pero within this year ‘yon.”,Pang-MMFF?,“Hindi. Kasi may ano ako, na alam naman ng lahat, ­ruling na kapag MMFF, ‘pag kasabay si Vic Sotto. So, kung gagawa ang APT, hindi puwedeng lumaban kay Vic Sotto.”,Sa panig naman ni Kris Aquino, marami na ang ­nagtatanong at nag-aabang, kailan siya mapapanood sa TV, o sa GMA?,“Walang arrangement sa free TV kay Kris. Digital ­talaga ang usapan namin.”,So, wala talagang balak ang GMA kay Kris?,“Hindi siya talent ng GMA…”,Pero, nabalita noon na si Kris ang ilalagay sa timeslot na bago mag-Eat Bulaga?,“That was in the beginning. Kaya lang, nag-aano kami, na something new muna. Kaya nag-gamble kami sa TROPS.”,Kumusta naman ang mga boys ng TROPS?,“Okey naman sila. Masaya pa. Wala pang problema.”,So, wala pa talagang mai-expect ang mga fans ni Kris?,“Right now, hindi mo kasi malaman kung paano siya iba­balik. Paano kaya kung ­ibabalik ko siya? Kasi, a lot of people are ­really waiting for her. Pero, baka mamaya, nag-gamble ka, binalik mo siya, the same thing kung ano ang ginagawa niya ­before, mahirap naman…,“Medyo ano dapat, iba naman…”,Ano ba ang bagay na show kay Kris ngayon?,“Ang hirap nga, eh.”,Kunsabagay, parang nagawa na ni Kris lahat sa TV.,“Oo nga, very successful siya.,“Ang galing ni Kris as host. Ang ­galing niya ta laga.”,May nag-suggest, na bakit hindi na lang dating game? First episode kunyari, maghanap siya ng boyfriend?,“Controversy agad, ha! Ha! Ha! Ha! Ha!” natatawang reaksiyon ni Mr. T.,“Pero, I’ll be very honest, nakaka­takot kasi baka magkamali. If we fail, tatama sa amin, saka sa kanya. Ang ­bigat naman nun. Kaya we have to really think kung ano ang maganda.”,Paano ba nagsimula ang partnership niyo ni Kris?,“She texted me na ­gusto niyang mag-meet kami. I didn’t know anything kung ano ang pag-uusapan. Sinama ko ang anak ko, si Mike (Direk Mike Tuviera). And we sat down. And she said, ‘I want to get into digital. I think, the future really is digital. I want to be there first.’,“And then, she said, it’s about time that I start to own also what I’m doing. Sa digital kasi, kanya ‘yon. Siya `yun.,“Ganun lang nagsimula ‘yon. Nasa Facebook siya ngayon…”,Pero, kayo rin ang nagma-manage kay Kris?, “Wala pa kaming pirmahan sa management agreement. Co-manager, parang ­ganun ang nangyayari kasi, even without ‘yung pirmahan. Kasi, parang ganun ang nangyayari, na pagdating sa planning, ganun na rin.,“So far, right now, wala namang conflict.”,Napag-uusapan niyo na ba ang pulitika o ang plano ni Kris na pagtakbo?,“I don’t wanna go there. Mahirap…” ­natatawang sabi ni Mr. T.,Eh, sa lovelife?,“Wala rin. I’m not in a position, in the first place…”,“Wala! Wala!” natatawang sagot pa rin ni Mr. T.,Anyway, sinagot na rin ni Mr. T ang tanong ng fans ni Marian, na kung babalik ito sa primetime teleserye. At oo na ang sagot niya, na dapat ­abangan this year.,Meaning, magrereyna pa rin si Marian sa primetime."
"I KNOW BETTER!: MISS COLOMBIA, DISMAYADO",E,"It’s over and done! Tinanghal na 2016 Miss Universe si Miss France. Tinalo niya si Miss Haiti na na­ging darling of the crowd nu’ng mapili sa Top 9 hanggang sa Top 3!,Very entertaining ang katatapos na Miss Universe dahil sa host na si Steve Harvey mula simula hanggang sa announcement niya ng winner.,Inabutan pa siya ng salamin ni Pia Wurtzbach para walang mali sa announcement.,“You will never get out of the Philippines,” bulalas ni Steve kapag nagkamali na naman siya.,Sa Top 9, pinakanambulaga si Miss Kenya. Maraming humanga sa mga sagot niya.,Pagdating nga lang sa question and answer sa Top 6, nagulo ang isipan niya. Keber nga naman niya kay Donald Trump, huh! Lost sa Top 3!,O, nasa Top 6 si Maxine Medina. Keri na ‘yon. Huwag nang lampasuhin pa ang sagot niya na mababaw! Hindi niya naalala ang Yolanda kumpara kay Miss Haiti nang isagot ang naganap na lindol sa bansa nila!,Sa totoo lang, lutang ang third world beauties sa Top 9 and then Top 6. Mas nanaig nga lang ang mala­king bansa gaya ng France. Pero palpak man ang sagot sa Top 6, bumawi naman si France sa final Q & A.,Pansarili man ang naging sagot niya, swak naman ‘yon sa judges. Dagdag pa ‘yung magandang mukha niya kaya lumamang siya kay Haiti.,Luhaan nga lang si Miss Colombia dahil kita sa reaksyon ng face niya ang pagkadismaya sa pagtawag sa kanya bilang second runner up. Buti siya, mas mataas ang puwesto kay Miss Philippines, huh!,Pero after 63 years, ngayon lang uli nakakuha ng Miss Universe title ang rep ng France, huh!, Time to move on, guys! ‘Wag na ninyong lait-laitin pa si Maxine.,‘Yung maling manghuhula na lang! Hehehe! Si Madam na letter P ang hulang mananalo.,Congratulations sa namahala ng Miss Universe 2016. Saludo ang sambayanang Pinoy sa  magarbo subalit ever entertaining presentation!,Back to work na sa parlor mga bekis! ‘Wag sirain ang buhok at fez ng customers, huh! Talunan naman si Miss Colombia!"
"LOLA NI MISS HAITI, PINAY NA PINAY!",E,"First runner up ni Iris Mittenaere si Miss Haiti Raquel Pelissier na humingi ng financial help sa pamamagitan ng GoFundMe, ang crowdfunding platform, para makapunta siya sa Pilipinas at makasali sa 65th Miss Universe.,Sinalanta ang Haiti ng Hurricane Matthew noong October 4, 2016 kaya pinili ng pamahalaan na tulungan ang mga biktima ng kalamidad kesa tustusan ang pagsali ni Raquel sa Miss Universe.,Hindi nabalewala ang pagpunta ni Raquel sa Pilipinas dahil napansin sa 65th Miss Universe ang talino at ganda niya.,Natalo man si Maxine, may dahilan para ipagbun­yi at ikarangal si Raquel ng mga Pilipino dahil may Filipino blood siya.,Hindi nalilimutan ni Raquel na sabihin sa mga interbyu na Pilipina ang lola niya.,Hibang ang mga Pilipino sa mga beauty pageant at matibay na pruweba ang malaking importansya na ibinigay nila sa Miss Universe at ibang mga beauty contest.,Pero may importante na aral na dapat na natutunan ang mga Pinoy sa resulta kahapon ng Miss Universe, ang huwag maniwala sa mga fearless forecast ng mga nagpapanggap na beauty pageant expert at insider dahil walang ipinagkaiba ang mga ito sa manghuhula na si Madam Auring.,Walang nakahula sa mga “beauty pageant expert” na mananalo na Miss Universe si Miss France Iris Mittenaere.,Popular na popular sa mga beauty pageant authority si Miss Venezuela Mariam Habach pero hindi ito nakalusot sa Top 13 at hindi na nasundan ang Miss Flawless Universe award na napanalunan niya sa swimsuit presentation sa Cebu noong January 16, 2017.,Walang nakaisip sa mga beauty pageant expert na isama sa listahan ng mga top candidate sina Miss Haiti Raquel Pelissier at Miss Kenya Mary Esther Were.,Mabuti pa si Miss Universe 1973 Margie Moran na hindi nagpanggap na beauty pageant expert pero nagkatotoo ang sinabi niya na si Miss Myanmar Htet Htet Htun ang dapat manalo sa Best National Costume competition."
"PIA W., KINONTRATA  NA NG SIKAT NA  MODELING AGENCY SA BUONG MUNDO!",E,"Naging ­comedy din ang Miss ­Universe dahil sa host na si Steve Harvey.,­Paulit-ulit na ­pinapaalala sa kanya ang ­maling nagawa niya noong 2015 Miss Universe at panay ang sorry niya kay Pia Wurtzbach.,Inabutan pa siya ni Pia ng reading glass bago niya basahin ang mananalong Miss Universe.,Dahil napaka-gracious na Miss Universe ni Pia, nagpasalamat ito kay Steve Harvey dahil sa nangyari sa 2015 Miss Universe.,“I would like to thank you Steve for making me the most popular Miss Universe!” tawa pa ni Pia.,Sagot naman ni Steve: “Thank you Pia for ­making me the most popular TV host!”,Nabanggit din ni Pia na kinuha na siya ng isa sa sikat na modeling agency sa buong mundo na IMG Models in New York City.,Meron itong mga branches sa Milan, Paris, London at Sydney.,Kabilang sa IMG ang mga sikat na male and female models sa buong mundo tulad na lang nina Giselle Bunchen, Kate Moss, Hailey ­Baldwin, Gigi Hadid, Rosie Huntington-Whiteley, ­Lauren ­Hutton, Georgia Jagger, Miranda Kerr, Karley Kloss, ­Carolyn Murphy, Noah Mills, Jessica Stam, ­Candice Swanepoel, Alek Wek, Devon Windsor, Jasmine Tookes, Lily Aldrige at ang naging anchor woman ng Miss Universe at plus-size model na si Ashley Graham."
“MAS MAGANDA SAGOT  NI MISS FRANCE WITHOUT  THE INTERPRETER…”  — SOLENN HEUSSAFF,E,"Since Miss France nga ang nanalo, isa sa mga Kapuso, si Cassiopeia ng Encantadia na very fluent sa French language ang isa sa mga nanonood at nag-tweet ng totoong sagot ni Iris ­Mittinaere.,Para kay Solenn, mas maganda on its own daw ang naging sagot nito kesa sa isinalin na sagot ng kinuhang interpreter sa english.,Ayon kay Solenn, “French translator said: when I missed my first casting. But she really said 1st year of Medicine school.”,May mga nagsabi kay Solenn na sana raw ito na lang ang kinuhang ­interpreter for France.,Then sey nga niya, “Mas maganda sagot ni Miss France without the ­interpreter. So she won on her own. Not because of the translation.”,At the end, nag-congratulate rin si Solenn kay Maxine Medina at sa lahat ng candidates.,At sey nga niya, “Congrats Miss France! And all the women. Winner ­silang lahat.”,Bukod kay Maxine, nakatutok din sa Miss Universe at maagang gumising ang iba pang mga artista na tumutok at nanood."
"“PIA, YOU WILL  ALWAYS BE THE  QUEEN OF THE  PHILIPPINES!” — MARLON",E,"Buong showbiz ang sumuporta kay Maxine Medina sa laban niya sa Miss Universe.,Nag-alay pa ng kanta ang magkakaibi­gang singer na sina Erik Santos, Christian Bautista at Mark Bautista para kay Maxine, na mapapanood sa IG ni Christian, bago ang Miss Universe pageant.,Kuha ang video nila sa isang kalye sa BGC. Ikinatuwa ng mga followers nila ang paraan ng pagsuporta nila kay Maxine.,Samantala, todo naman ang pagpapakita ni Marlon Stockinger, ng malaki niyang pagmamahal kay former Miss Universe Pia Wurtzbach. Hanggang sa rehearsal ng Miss Universe 2016 ay nakabantay si Marlon kay Pia.,Ngayong tapos na ang reign ni Pia sa Miss U, siguradong babalik na uli sa normal ang buhay ng dalaga at mas lalong magiging lantad na ang pagmamahalan nila ni Marlon.,Heto ang post ni Marlon sa photo nila ni Pia na kuha kahapon sa MOA.,“@marlonstockinger: I’m so proud of you @piawurtzbach and your reign as Miss Universe, you will always be the Queen of the Philippines!”"
"STEVE, SCRIPTED ANG PATAWA!",E,"Gamit na gamit ni Steve Harvey sa mga spiel nito ang malaking pagkakamali niya sa announcement ng winner sa 64th Miss Universe na ginanap noong December 20, 2015 sa Las Vegas, Nevada.,Kahit matagal nang nangyari ang insidente, mabentang-mabenta sa MOA Arena audience at televiewers ang mga biro at pagpapatawa ni Harvey sa sarili.,Naramdaman namin na sinadya ng Miss Universe Organization na magpakontrobersyal nang magkasunod na tawagin ni Harvey sina Miss Colombia Andrea Tovar at Maxine Medina ng Pilipinas bilang Top 13 candidates para mabigyan ng moment ang American TV host/comedian.,At para magkaroon ng suspense ang announcement sa huling kandidata na pumasok sa Top 9, nagsalita si Harvey ng “It would be worth the wait” nagkaroon ng commercial break at nang bumalik siya, sinabi niya na “There’s still one name right here. I’m gonna nailed it.,Don’t worry about it. This is a big confidence booster for me. Let’s go Steve. You can do it. The last remaining contestant to make our Final 9, Philippines!” na sinalubong ng malakas na hiyawan at palakpakan ng Pinoy audience sa MOA Arena.,Nangamoy scripted ang ginawa ni Harvey, pati ang pag-aabot sa kanya ni Pia ng reading glasses para mabasa niya nang mabuti ang pangalan at bansa ng 65th Miss Universe winner."
"Pulitiko, dumagsa sa Miss U!",E,"Palibahasa marunong ng French, kaya si Solenn Heussaff, pinuri ang sagot ng bagong Miss U na si Miss France na si Iris Mittenaere.,May interpreter kasi ang France kaya medyo magulo ang sagot mula sa interpreter.,Eh, knows ni Solenn ang sagot ni Miss France so tweet niya, “Mas maganda ang sagot ni Miss France without the interpreter. So she won on her own. Not because of the translation.”,Present sa front audience si Manila Mayor Joseph Estrada na ilang layo lang ang upuan kay Gov. Chavit Singsong na malaki ang tulong sa Miss Universe.,Pero sa isang kaibigan naming nanood, suwerte siya’t nabigyan siya ng extra ticket mula sa isang congressman, huh! So nagkalat ang mga pulitiko sa Pageant Night, huh!"
"ANSABEEEH???: VIVIAN VELEZ, BINANATAN SI G TOENGI SA PAGPUNA KINA MOCHA AT PDU30!",E,"Kahit na nasa Ame­rica si G ­Toengi, nararamdaman pa rin siya sa bansa, lalo na sa mga ka-facebook o nagpa-follow sa kanya sa kanyang social media ­account.,Isa si G sa mga ­Pinoy na kahit nasa ibang ­bansa, tila ‘yung puso at isip, nasa Pilipinas pa rin. Simula pa ng eleksyon, very obvious na kung sino ang hindi nito ­gustong kandidato, lalo na sa pagka-Pangulo.,Pero katulad ng ibang ayaw, ­nirespeto na lang din niya ang ­naging ­resulta ng nakaraang eleksyon. But just like others pa rin, kung may nakikita ­siyang kaila­ngang punahin, isa si G sa openly, nagbibi­gay ng kanyang saloobin o ­reaksyon sa pamama­gitan ng kanyang social media account, gayundin sa ­kanyang radio show sa L.A. at writer/contributor din ng Asian Journal.,Base sa posting ni G, ‘yung iba, pinu-post na rin niya sa social media para ipakita na rin na totoo, may mga nagmumura sa kanya at ‘yung iba, parang ­wini-wish na mamatay na siya at ito ay dahil lang sa simpleng tanong niya na, “What credentials and qualifications she had?” referring to Mocha Uson na in-appoint na nga ni President Duterte bilang isa sa mga Board Members ng M.T.R.C.B.,Ayon kay G, “I woke up to hundreds of ­comments on my social media ­platforms filled with hate (like I should kill myself, really?!?) and illogical ­arguments on why I am attacking their champion for ­democracy, Mocha.,“Petty rhetoric that I am “nagpapansin” o ­trying to get attention since I don’t have nearly the following she does…,“How is that an argument to make? I just asked, what credentials and ­qualifications she had? Keep trolling coz I can block all day long.”,Bukod sa mga haters at kung anu-anong messages daw na nakukuha niya, umabot pa sa puntong Mocha or PDuterte’s supporters ay nag-email sa ­supervisor niya para ipatanggal siya.,Ayon sa post ni G, “When Mocha/Duterte ­supporters email my ­supervisors at the station I work at, then this clearly marks that this administration is against any dissent to question their legitimacy and actions.,“I will not stop criticizing this ­administration when fake news continues to disseminate and justification for several thousand people, are simply relegated to casualties on drugs.”,Base sa mga nag-like at nag-comments ng post ni G na ilan ay taga-showbiz din, marami rin ang ­naniniwala at sumusuporta sa kanya. Pero isang ­beteranang aktres naman, ang all-out Duterte ­supporter na si Vivian Velez na katulad ng ibang bashers ni G ang bumanat dito sa FB account din nito at sinabihan ng kung anu-ano si G tulad ng mga ­salitang publicity hungry, hypocritical and ­intellectual wanna be at iba pa.,Ngayong araw na ito na ang pinaka-­aabangang Miss Universe 2016.  Kahit mahal ang ­tickets ng Miss U, tila hindi ito ininda ng mga ­fanatics talaga ng beauty pageant, lalo na ng Miss Universe dahil talagang marami pa rin ang gumastos at manonood ng live.,May kanya-kanyang bet ang bawat isa, pero kung mapapansin, ilan sa mga Miss U representatives ang masasabing ­early ­favorites.,Ilan sa mga ito ay ang bansang Thailand, ­Colombia, Indonesia, USA, Spain, Malaysia, Venezuela at Philippines.,Ngayong araw na ito natin malalaman kung ang mga early favorites nga ang posibleng lumabas sa Top 6 o may mang-susupresa sa mismong pageant night.,Of course, ­marami man ang nangba-bash at marami man ang ­hindi masyadong bilib kay Maxine Medina pag­dating sa pagsasalita nito at pagsagot sa question and answer, as Filipino, ­halos lahat naman ay nagkakaisa na sana nga, magkaroon ng back to back win for the country.,Isa rin sa aabangan ay ang farewell walk ni Pia Wurtzbach bago nito isalin ang korona sa bagong reyna."
THE SOURCE: DASAL AT MISA PARA KAY MAXINE!,E,"Kahit hindi idi­neklara na special holiday ngayon, holiday sa Pilipinas ang pakiramdam ng fans ng mga beauty pageant dahil dumating na ang araw na pinakahihintay nila, ang grand coronation ng 65th Miss Universe sa Mall of Asia Arena.,May mga kakilala kami na hindi papasok sa trabaho para lang mapanood ang telecast ng 65th Miss Universe.,May mga nag-check in sa mga hotel para sa kanilang Miss Universe party at para hindi maabala ang panonood nila sa TV.,Hindi kami magtataka kung magkakaroon ng kilos protesta sa ­labas ng Mall of Asia and Arena ang grupo na tutol na idaos sa Pilipinas ang 65th Miss Universe para iparamdam na relevant sila, kahit hindi pinansin ng publiko at umani pa ng mga batikos ang kanilang pag-aalburoto noon na laban sa nasabing beauty ­pageant.,May mga nagdarasal at nagpamisa para manalo si Maxine Medina dahil sa matinding kagustuhan nila na mapatunayan na maling-mali si Miss Universe 1969 Gloria Diaz sa statement nito na saling-pusa ­lamang ang bet ng Pilipinas sa 65th Miss Universe.,Gloria at Maxine,Nakahanda sa pag-atake ang haters at bashers ni Gloria kapag nanalo si Maxine pero naturally witty at intelligent ang Miss Universe 1969 dahil sa isang radio interview, nagsalita siya ng “Sige na nga, I was just joking. Actually, Maxine is the one talaga who is going to win. Oh, ok na  ba sila? Bakit, si ­President Rodrigo Duterte nga nagbabago ang isip eh ‘di ako rin?”,Hindi kami naniniwala na mas marami ang ­basher ni Maxine sa sariling bayan dahil nakakahigit pa rin ang mga nagmamahal at sumusuporta sa kanya.,Nangingibabaw ang balita na hinihiya at binabatikos si Maxine ng mga kapwa Pilipino dahil ‘yon ang binibigyan ng espasyo at pansin ng lahat.,Bakit? Dahil para sa karamihan ng mga ­Pilipino, higit na entertaining at exciting na basahin ang mga maaanghang at kontrobersyal na pahayag pero kung susuriin na mabuti, mas marami ang mga nagmamahal at sumusuporta sa Filipina beauty queen na nagpakitang-gilas sa preliminary competition ng 65th Miss Universe.,Makitid lang ang pang-unawa at negativity ang pinaiiral ng iba sa mga unsolicited advice kay ­Maxine na dapat na gumamit siya ng interpreter sa ­question and answer, kung sakali na mapili siya na semi-­finalist. Sarado ang kanilang mga isip sa katotohanan na concern at hindi bashing ang mga payo kay Maxine na gumamit ito ng interpreter.,At dahil walang kakayahan  ang mga tinutukoy namin na ma-distinguish ang pagkakaiba ng mga salita na concern at bashing, sila ang may ­kailangan ng interpreter, hindi si Maxine na nananatiling ­composed, natatawa at naniniwala sa aming sinabi na nag-aaway-away na ang mga Pilipino dahil sa kanya nang makausap namin siya sa lunch ng PLDT para sa mga kandidata ng 65th Miss Universe.,Dapat magpakatotoo at huwag pairalin ng mga supporter ni Vice President Leni Robredo ang pagiging balat-sibuyas dahil hindi invited ang pangalawang pangulo ng bansa sa grand coronation ngayon ng Miss Universe.,Walang rason para gawin na big deal ang hindi pag-iimbita kay Robredo dahil kung nagawa nga na hindi siya imbitahan sa lahat ng mga cabinet meeting simula noong December 5, 2016 na naging ­dahilan ng resignation niya bilang cabinet member o chair ng Housing and Urban Development ­Coordinating Council, sa coronation pa kaya ng 65th Miss ­Universe?,Hindi kabawasan sa pagkatao ni Roberdo ang hindi pag-iimbita sa kanya sa malaking event na magaganap ngayon dahil tulad ng sinabi ng former beauty queen na si Ma. Isabel Lopez, “After all these years, I’ve learned the fact that the world is bigger than Araneta Coliseum and the world is much bigger than the Miss Universe pageant!!”,Kaya sa mga supporter ni Roberdo, huwag n’yo nang gawin na malaking isyu ang hindi ­pag-iimbita sa kanya sa coronation ng 65th Miss Universe ­dahil sa inyong pagmamaktol na ginagawa, nagiging mukhang bitter ang bise presidente, kahit bale-wala sa kanya ang insidente."
