title,category,content,,
40 Pinoy swimmers kakampay sa Thailand,S,"Pinangunahan nina Kirsten Chloe Daos at Rafael Barreto ang 40 swimmers na nakatakdang kumampay sa pagsisimula kahapon ng 40th Southeast Asian Age Group Swimming Championships sa Bangkok, Thailand.,Naka-gold medals ang dalawa nang ganapin ang biennial swimfest noong isang taon sa Danang City, Vietnam, habang silver ang kasama rin ngayon sa team na si Xiandi Chua.,Nasa lineup din sina Yakutsk Children of Asia bronze winner Camille Buico; University Athletic Association of the Philippines at Palarong Pambansa standouts Maurice Sacho Ilustre at Nicole Pamintuan; Philippine National Youth Games-Batang Pinoy Championships at national record holders Sam Coronel at Thanya dela Cruz, at iba pa.,Sinabi ni Philippine Swimming Inc. secretary general Lani Velasco na nabuo ang national team noong Nobyembre na hangad maduplika hindi man mahigitan ang naiuwing 2-2-7 gold-silver-bronze medals nung isang taon mula sa 29 tankers.,Kasama ng mga manlalangoy sa three-day meet hanggang bukas (Disyembre 11) sina coaches Rey Galang, Marichi Gandionco, Jenny Rose Guerero, at Sherwin Santiago.",,
"Barnes, Cousins kinasuhan",S,"Kinasuhan ng dalawang katao sina Sacramento Kings center DeMarcus Cousins at forward Matt Barnes sa akusasyon sa NBA pla­yers na nanakit sa kanila sa isang New York night club nung Lunes ng umaga.,Wala namang criminal charges na sinampa kahit isa sa kanila o kina Cou­sins at Barnes, na ayon sa dyaryong Sacramento Bee ay kapwa kumuha ng mga abogado para kumatawan sa kanila.,Marami nang kinatawan ang Spiro na mga athletes sa high-profile cases, kabilang si Atlanta Hawks player Thabo Sefolosha, na napatunayang not guilty sa maraming kinasangkutang insidente sa mga club sa New York na roo’y nadale pa ang kanyang hita.,Dinemanda ni Sefolosha ang New York Police Department at nanalo.,“We do not believe a crime was committed and are hopeful no charges will be pressed,” anang Spiro sa ESPN.,Sa alegasyon nina Jasmine Besiso at Myrone Powell sinabi nilang sinakal sila ni Barnes at inupakan ni Powell sa mukha nang tulungan ni Powell si Besiso bago mag-uma­ga nung Lunes sa Avenue night club sa Manhattan.,May alegasyon din si Barnes na naniko si Besiso sa kanyang mukha at pinabagsak siya na kinawalan din niya ng malay. Tinugon naman nina Cousins at Barnes na tinulak sila kaya gumanti siya na kinabagsak ni Powell.,Nagdemanda sina Besiso at Powell sa New York District Court noong Myerkules at humingi ng jury trial.,Nasa New York sina Cousins at Barnes at ang Kings para sa game kontra New York Knicks sa Linggo ng gabi.",,
BULLS-EYE ANG SPURS,S,"CHICAGO — Luma­gare si Dwyane Wade ng 20 points nang masuwag ng Chicago Bulls ang San Antonio Spurs, 95-91, sa patikim ng una sa huli ng first road loss sa 71st NBA 2016-2017 season elimi­nations, Bi­yernes (Manila time), sa United ­Center dito.,Sumandal ang Bulls sa balanced attack para makalsuhan ang three-game slide at tinapos ang laro na may eight ­players ang mga pumukol ng eight o more points.,Kumabyos si Rajon Rondo sa triple double sa tinapos na 12 points, 10 rebounds at nine assists. May bad shooting night si Jimmy Butler na 4-14 field goals pero naka­tulong pa rin ng 13 points. Naka-12 points each sina Robin Lopez at Taj Gibson.,Minulto ang Spurs ng kanilang 32-point first half performance at ­hindi lumamang sa game. Sinubukan nitong mag-rally sa last quarter pero laging may kasagutan ang Chicago sa magka­bilang dulo.,Humabi si Kawhi Leo­nard ng 24 points, eight rebounds at five assists. Umiskor si Patty Mills ng 16 off the bench. Naka-13 pts. at 10 rebs. si Pau Gasol habang si LaMarcus Aldridge ay may 10 points na may four blocks para sa Spurs na hindi ­kinayang madugtungan pa ang four-game win streak at nabigong mapantayan ang NBA record para sa best road start (14-0 ng Golden State Warriors last season).,Sa Louisiana, tinapos ng Philadelphia 76ers ang 23-game losing streak sa labas, sa pagbulaga sa New Orleans Pelicans, 99-88, sa Smoothie King Center dito.,Lubog ng lima sa break, hinigpitan ng ­Sixers ang defense para malimitahan ang Pelicans sa 5-of 25 shooting sa third pa-12 points. Nag­liyab si Sergio ­Rodriguez sa third nang matanganan ng Philadelphia ang 71-69 makaraan ang three ­periods.,Si Nik Stauskas pagkalipas ang nag-init sa start ng fourth nang ipundar ng Sixers ang 8-point lead, 81-73, 8:31 left. Pero binalikat ni Lance Galloway ang bwelta ng Pelicans na dumikit sa three 85-82 sa 5;49 mark. Na­nalasa ang Philadelphia ng 13-2 blitz, tampok ang triple ni Ersan Ilyasova triple, na tumapos na sa laban sa New Orleans.,Napatigil na rin ng Philadelphia ang 8-game slide at na­dale ang first road game win sa season sa likod ng 23 pts. ni Ilyasova. Nagbakas si Rodriguez ng 16 samantalang sina Joel Embiid at Stauskas ay may 14 a piece. May 5-18 card na ang Sixers.,May 26 pts. at 11 rebs. si Anthony Davis sa panig ng Pelicans, na natikman ang fourth straight game defeat at malaglag sa 7-16. Si Galloway ang ta­ngi pang player para sa New Orleans na naka-double figures sa 19.",,
ISPORT LANG!: Usapang Rizal Memorial: Urban renewal,S,"Lumabas na ­naman ang issue dito sa Rizal Memorial Sports Complex (RMSC)  na ­unang lumutang sa panahon nina POC president Peping Cojuangco at PSC czar  Ritchie Garcia noong 2014.,Isasailalim daw ang 82-year-old complex sa tinatawag na ­“urban renewal” ng Razon Group.,Batay sa plano ng Razon Group at City of Manila na nagmamay-ari ng 10-hectare sports complex, ire-revitalize daw ito at walang gagalawin sa mga lumang building.,Bagkus ­magtatayo lamang ng bagong building na paglalagyan ng modernong tanggapan (office) at commercial areas at green open spaces at sports ­museum.,Ang façade ng ma­ka­saysayang RMSC ay lalo daw patitibayin at mana­natili ang Rizal Memo­rial Coliseum o ang Rizal Memorial baseball ­stadium na ­pinaglaruan pa ng mga baseball greats na sina Lou ­Gehrig at Babe Ruth at pinagdausan ng concert ng The Beatles noong 1966.,Itinayo ang RMSC noong 1934 nang mag-host ang Pilipinas ng Far Eastern Games na nga­yon ay  Asian Games na.,Kung tutuusin, ang proposal na ito ng Razon Group ay mas mainam kumpara sa panukala noon ni POC president Jose ‘Peping’ ­Cojuangco, Garcia at Manila ­Mayor Joseph Estrada na ­ibenta ang RMSC at ­magtayo ng Sports Center sa  Clark, Pampanga.,Dalawang lugar noon ang plano ni Cojuangco na paglipatan ng training ng mga national athlete — Clark at Tanay Rizal. Sa Clark uupa daw ang PSC sa dating US military base sa halagang P150K kada buwan o magtatayo ng Sports Center na ang  pondo ay ­manggagaling sa mapagbibilhan ng RMSC.,Kaso, hindi ­magiging ma­­­­dali ang ­gustong mang­­­­yari ng ­Razon Group at ­Manila go­vern­­­ment dahil ­nag­­­­­pa­­­hayag na ang ­Heritage ­Conservation Society (HSC) at National Commission for Culture and the Arts, Senator Manny ­Pacquiao at lalong lalo na si Chairman Butch Ramirez, PSC chair, ng oposisyon sa ­planong ito.,Nasa batas yata na maari lamang pakialaman ang RMSC kung aalis ang PSC at papa­yag  ang pamilyang nag-donate sa 10-hec­tare complex na gagamitin lamang ito bilang sports stadium, ayon kay former congressman Yeng Guiao, chairman ng House Technical Working Group noon ng P3.5 billion national stadium ­project na itatayo sa Clark, Pampanga.,Sinabi rin ni Ra­mirez hindi pa aalis ang PSC sa RMSC at magsasagawa pa sila ng rehabilitasyon sa ilang pasilidad nito para sa training ng ating mga pambansang atleta na nakatira rin mismo sa stadium sa ­kasalukuyan.",,
SCORING MACHINE,S,"Isa pang milestone ang nilista ni LeBron James, umiskor ng 27 points para umangat sa ninth place sa NBA scoring list, at pinalamig pa ng Cleveland Cavaliers ang da­yong Miami Heat 114-84 Biyernes ng gabi.,Walang dudang isang scoring machine si Le­Bron, sa tinatakbo ng career ay mukhang malayo pa ang mararating.,Iginuhit ni James ang 27,315 career points at sa driving layup 6:58 sa laro ay nilagpasan sa career list si Elvin Hayes.,Makalipas ng isang minuto ay nilabas ang four-time MVP at sinabayan ng maingay na ovation ng crowd.,Sa kaagahan ng laro ay nilagpasan ni James si Hakeem Olajuwon, at hindi malayong laktawan na si Moses Malone (27,409) sa eighth place sa mga susunod na laro.,“Anytime I’m mentioned with the other greats, it’s very surreal and very humbling,” wika ni James.,Hindi napigil ng back spasms si Kevin Love para umayuda ng team-high 28 points na may sahog pang 15 rebounds sa Cavs.,Nagdagdag si Kyrie Irving ng 23 points sa Cleveland, nakatatlong sunod na panalo na matapos ang tatlong kabit na semplang.,May 17 si Derrick Williams para pangunahan ang kulang sa taong Heat, walong players lang ang pinag-uniporme.,Tumapos ng eight points at 12 rebounds sa loob ng 28 minutes si Miami center Hassan Whiteside.,Lumayo ang Cleveland sa dulo ng first quarter at tinipa ang biggest lead ng half 57-46 sa 3-pointer ni Irving bago natapos ang second.,May eight assists pa si James, kapos ng apat para maging 16th player sa NBA history na namigay ng 7,000 sa buong career – at unang frontcourt player na makakagawa nito.,Inumpisahan ng Heat ang kakaibang reunion tour, unang hinarap si James na instrumento sa dalawang NBA titles ng Miami.,Tuloy ang trip Sabado sa Chicago laban naman kay Dwyane Wade na tumawid sa Bulls nitong offseason.",,
Russian GM gumitgit sa unahan,S,"Pinisak ni third seed GM Boris Savchenko ng Russia si No. 4 GM ­Levan Pentsulaia ng Georgia sa sixth round ng Philippine ­International Chess Championships sa Subic Bay ­Peninsular Hotel sa Zambales ­kahapon.,Umabot sa 60 moves ng Zukefort Opening bago kinalos ni Savchenko si Pentsulaia para sumalo sa top spot kasama sina GMs Wang Hao ng China at Kovalev Vladislav ng Belarus sa tig-4.5 points.,Lamang sa puwesto si top seed Hao pero nauwi sa draw ang kanyang laro kontra No. 2 seed GM Anton Demchenko ng Russia sa 30 moves ng Sicilian.,Apat na Pinoy woodpushers ang may tig-3.5 points at nakasiksik sa 10th to 16th places sa nine-round Swiss system event.,Nanaig si IM Jan Emmanuel Garcia sa kaba­bayang si IM ­Ronald Bancod, tabla ang laban nina IMs Haridas Pascua, Paulo Bersamina at GM John Paul Gomez.,“Laban lang, kaila­ngan natin ipakita na ­palaban tayong mga ­Pinoy,” wika ni Pascua.",,
WARRIORS NAKAALPAS,S,"LOS ANGELES — Dumating kay Kevin D­urant ang kanyang worst shooting game sa Golden State, hindi makapagsalpak si Stephen Curry ng bucket mula sa malalim, at nangamote rin si  Klay Thompson mula sa field, pero naiputong pa rin ng Warriors ang matunog na paglublob sa Los Angeles Clippers, 115-98, sa 71st NBA 2016-2017 season eliminations Huwebes (Manila time) sa Staples Center dito.,Kinabyos ng Warriors three top scorers ang 31 sa kanilang 51 field goals combined, kung saan naka-5-of-17 lang si Durant at muling nangapa si Curry sa venue na sinablay lahat ang eight attempts sa labas ng arc. Pero ang Golden State pa ang nagdala sa tono sa maagang blowout dahil sa kanilang sterling defense sa Clippers.,Pinoste ng Warriors ang 15-13 lead sa midway mark ng first quarter pa­punta sa 20-point advantage pagkaraan ng 22-4 blitz pagtapos sa pe­riod. Nabuhayan ang Clippers sa pag-angkla ng 13 first half points ni Jamal Crawford para lumapit sa gap sa seven na lang ng 2:21 mark ng quarter ang LAC, bago naibalik ng GSW ang kalamangan sa break sa 13.,Nagpakawala ang Golden State pagkalipas ng 19-5 run sa start ng third at naipundar ang 27-point lead, 81-54, saka umepal sina Austin Rivers at Crawford sa birada ng Clippers para malagare ang bentahe sa 14 sa pinid ng quarter. Pero ‘yun na pala ang huling pag-aalsa ng home team dahil hindi na nakadikit ulit pagkaabante ng Warriors sa fourth ng 17.,Kinumutan ni Curry ang  cold shooting performance niya sa matching sa career-high seven steals rekado sa 19 points at six assists, para mapwersa ng Warriors ang Clippers sa 14 turnovers at nadyeta sa 39.6 percent sa field.,Nagbaon si Thompson ng 8-of-18 at kinarga ang Warriors sa 24 points. May bakas si Draymond Green na 22 markers at two steals para matulu­ngan ang Golden State na manalo ng third straight game at umangat sa 19-3. Tumapos si Durant ng 16 markers, eight rebounds at seven assists.,Umiskor si Crawford ng 21 sa pamumuno sa Clippers, sa pangala­ wang taob at sumubasob sa 16-7.",,
PSL Grand Prix: Serye tatapusin na ng Tornadoes,S,"Ipinakita ng ­defending champion Foton ang ­kanilang tatag sa Game 1, umahon sa dalawang sets na pagkakabaon upang maka-una sa best-of-three Finals sa 2016 Philippine Superliga Grand Prix noong Miyerkules ng gabi sa The Arena, San Juan City.,May tsansa ang Tornadoes na tapusin ang serye ngayong alas-­singko ng hapon sa PhilSports Arena, pero inaasahan nila na babalik ang ­Petron at paniguradong ibabandera nila ang kanilang super import na si Stephanie Niemer.,“This is the Finals and we’ll see what will ­happen in the next match,” wika ni Foton coach Moro Branislav.,Binitbit nina import Lindsay Stalzer at ­local Jaja Santiago ang ­Foton upang itakas ang 20-25, 21-25, 25-22, 25-17, 15-9 ­panalo.,Lumabas ng playing court si 6-foot-5 ­Santiago sa second set matapos itong matapilok, bumalik sa third frame para ­buhayin ang matamlay na laro ng Tornadoes.,“We need to win one more match to fi­nish this (series),” ani ­Branislav.,Umiskor si Stalzer ng 30 puntos, may 19 points ang kapwa reinforcement Ariel Usher habang nagtala ng pito si Santiago.,Si Niemer ang ­namuno sa opensa para sa Tri-Activ Spikers matapos ilista ang 32 ­markers habang sina Frances ­Molina at Serena Warner ay may tig-10 pts.",,
EYE-BALL: Teng top pick?,S,"Magpapa-draft na si Jeron Teng sa PBAD-League.,At tiyak na halos lahat ng teams ay magpupumilit na makuha siya.,Dahil bukod sa pagiging Finals MVP ng UAAP, alam naman na­ting sikat na sikat ang anak ni Alvin Teng.,AMA Computer ang first pick at susunod ang Tanduay.,Makakasali rin tiyak sina Thomas Torres at Davin Potts sa draft kaya tiyak na hot commodities din sila.,***,Kailangang mag-D-League nina Thomas at Jeron kung nais nilang mapasama sa PBA draft next year.,Ngayon pa lang ay tumatawag na ang Racal kay Jeron at nagpakita na sila ng interes sa kanya.,‘Yun nga lang ‘di natin alam kung mapupunta pa sa kanila since pangatlo sila sa huhugot.,Ang lagay naman e palampasin pa ng AMA o ng Tanduay si Jeron para sa team nila.,***,Si Davin Potts ng San Beda ay isa ring magaling na shooter.,Mahirap din siyang palagpasin kasi nga mahusay.,Kaya tiyak na ‘yang nasa top 3 o 4 picks eh mahihirapan sa desis­yon nila come draft day.,***,Si Thomas Torres naman ay isang mahusay na natural point guard.,At dahil mahusay at magandang lalake pa, marami siyang fans na makakatulong para pasikatin ang produkto.,‘Yan ang gusto ng mga PBA  D-League teams.,Magaling na eh guapo pa.",,
YAP INAKAY ANG ROS SA 3RD WIN,S,"Binalewala ng Rain or Shine ang makupad na simula upang ahunan ang first quarter six points down at makabrotsa ng 107-93 victory sa Blackwater kagabi sa 2016-2017 PBA Philippine Cup eliminations sa Smart Araneta Coliseum.,Balik mula sa 74-81 loss sa Governors’ Cup champ Ginebra nung Linggo, inangklahan ni two-time MVP James Yap ang opensiba ng Commissioner’s Cup titlist RoS sa 15 points para masolo ang leadership sa third win win sa four outings.,May double-double ulit si Raymond Almazan na 14 pts. at 16 rebounds, habang may 13 markers si Jewel Ponferade at 11 each sina Jeff Chan at Don Trollano para iputong ng Elasto Painters ang se­cond straight defeat sa Blackwater na bumagsak sa 2-2 sa solo sixth.,8-2 ang biggest lead ng Elite na tinapos ang yugto na nakamanibela pa sa 19-16, pero buhat doon, ang RoS na ang nagmando sa sultada tampok ang 22-point edge sa jump shot ni Yap, 99-77, 7:05 sa fourth.,“We came out well in the second half,” ani E-Painters coach Caloy Garcia na bumentahe sa assists, 27-20, sa game. “We’re just moving the ball better. I told them at the half that we had to rely on neach other.”,Si Raymond Aguilar ang namuno sa limang may double figures na mga scorer sa Elite sa 15 pts.,Samantala, pinalakas ng Alaska Milk ang frontline sa pag-trade kahapon kay 6-foot-3 forward-guard Romeo dela Rosa para kay 6-foot-3 3/4 wingman-slotman Jake Pascual ng Star habang nagpapagaling pa ng knee injuries sina Aces big men Sonny Thoss at Noy Baclao.,Samantala pa rin, magtatapat ngayong alas-singko ng hapon sa Big Dome ang Phoenix Petroleum at Star Hotshot.,Hahangarin ng Star ang ikalawang sunod na panalo, matapos ang dala­wang semplang.,Habang ang Phoenix ay susubukan pang maki­siksik sa ikalawang puwesto.,Ang iskor:, First game, Yap 15, Almazan 14, Ponferada 13, Chan 11, Trollano 11, Norwood 9, Ahanmisi 8, Belga 8, Washington 7, Cruz 6, Tolomia 5, Ibanes 0, Matias 0., Aguilar 15, Belo 13, Dela Cruz 12, Sena 12, Buenafe 11, Pascual 8, Gamalinda 7, Pinto 6, Cervantes 4, Miranda 3, Ababou 2, Banal 0, Forrester 0, Perez 0., 16-19, 46-39, 75-59, 107-93.",,
