title,category,content
Shoot to kill',C,labas shoot kill order manila police district mpd director pssupt joel napoleon coronel sandaling lab arestong miyembro pulis army reservist kilalang suspek baril patay biker noong hulyo gabi quiapo ynila press conference bigy alas-sgko hapon hapon coronel suspek philippe army reservist vhon tanto taga fraternal st quiapo ynila suko whole force manila police district go extension deadline armed dangerous see video shot unarmed victim remorse coronel sabi opisyal sandaling lab tanto tupad shoot kill ugnay imbestiga mpd sangkot tanto operasyon benta iligal droga bukod igg reservist trabaho mag-repair scooter motor misis titda barbecue tapat bahay bili brand new saky ganun lang trabaho mo milya galg yon hayag nam spo john charles dur imbestigador hawak kaso sabay nilaw coronel mo conduction sticker kulay pulang hyudai eon mo alarma mpd saky eho tanto nalam kilala ano tanto brgy zone ano clearance anak aral day care sanhi nilis al nestor punzal lutang national bureau investigation nbi y-ari kulay pulang hundai eon conduction sticker mo abot suspek tay biktimang mark vcent geralde gaming attendant base kuha ctv barangay zone lakad biktima biglang hto pulang kotse labas suspek mbuno biktima kaya tanto biktima niwala geralde ayos wala sakal balik saky kuha libreng baril saka nilapit biktima baril beses impormasyon kuha suntuk batid sagi suspek ehong bisekleta biktima talo
Tanod na 'tulak' itinumba sa barangay hall,C,loob compound barangay hall itba barangay tanod tala drug watch list bayang noong miyerkules gabi ulat p sr inspector arnel aguilar tanggap mayor arv salonga kilala slang conrado de guzm talens residente purok bgy tikiw bayang batid dakong alas- gabi loob compound barangay hall talens datg salarg riding-in-tandem lapit sana talens akala panau biglang bunot baril salar putuk beses biktima atay
"Mapa-senior, minor sumusuko sa droga",C,tuloy suko sangkot iligal droga anyos lo anyos bata suko maco davao del norte sabay libong drug personalities surender panig mahala ps supt melanie hermosisima abot suko lungsod maco amin tulak droga alip bawal gamot hepe pulisya programa lokal mahala turang lugar tustus rehabilitasyon biktima iligal droga
Driver-pusher dinampot sa terminal,C,arestado bus driver ano tulak iligal droga tapos gawang buy-bust operation loob bus terminal elavil transit bay allanes sorsogon palag suspek kilalang rodolfo cornelio jr drug personality batid bay residente bgy tacon polangui albay tapos ligir pulisya kuha igat sachet shabu gayund marked money gamit police poseur buyer operasyon ulat pulisya sagawa buy-bust operation tau allanes pnp dakong ala- hapon loob elavil bus terminal barangay central sabg bay bili halagang p shabu suspek tapos kipagpalit pera droga agad senyas poseur buyer hudyat aresto suspek kuha pang palag
"Estudyante sa Laguna, patay sa frat war?",C,tutok anggulong frat war calamba city police anap maril estudyante calamba city makalawa sabi calamba city chief police supt fernando ortega sentro imbestigasyon tapos litaw imbestigasyon al fraternity organization lungsod bandang alas- hapon baril kilalang suspek taong gulang estudyanteng eric alvarez alarcon ipil-ipil st bgy halang calamba city huling report bawi buhay lakad lang ano layo suspek suot bullcap tapos maril
Pari ginilitan habang nagmimisa,C,sawi tolikong pari tapos gilit sagawa misa normandy france ulat kilala sawg biktima rev jacques hamel anyos atake teroristang islamic state sat-etienne-du-rouvray church normandy malib sabg pari awa pang hostage suspek biktima bilang madre churchgoers lipas muto sagawa atake awtoridad roon palit putok duguang handusay suspek sugat hostage batid atake lggo tapos aro truck nice france katao sawi agad ang kondena french president francois hollande tay alagad simba tawag nam pope francis terrible news yari france gimbal atake simba france
"3 estudyante, 2 pa dinampot sa Dagupan pot-session",C,timbog katao bilang estudyante tapos aktuhang pot session lungsod makalawa kilala awtoridad suspek sina berni lopez anyos tricycle driver residente barangay herrero-perez tricio laguit anyos residente villa sta barbara college students sina edmel john diamola anyos residente barangay legaspi tayug arv alvendo anyos menor-de-edad laki residente barangay cayas burgos lawigang aktu ano pot session loob bahay suspek lopez agad dala awtoridad himpil kpiska sachet shabu drug paraphernalia
Wanted sa Hawaii timbog sa Laguna,C,arestado laguna anyos us citizen song sexual assault hawaii jimmy cense us citizen tubong guimba nueva ecija salukuyang residente looc calamba city laguna aresto makalawa tau laguna pib calamba police taga bureau immigration deportation tau us embassy munu thea tolento bisa grand jury bench warrant isyu judge richard perks circuit court first circuit state hawai song three counts sexual assault continuous sexual assault minor age fourteen years sidente yari hawaii cense erekomendanng lagak piyansang tbas higit kulang p
Kaliwa't kanang summary execution!,C,tuloy bulagta hinalang drug suspects ibang sangkot krimen ibang lugar metro manila ratig lugar bunsod igting mpanya droga mahalaang duterte votas kilalang laki tagpuang patay itapon gilid lsada sementeryo hapon dalg-araw tagpu labi unang biktima haba road brgy north bay boulevard south nbbs ilarawang suot itim maong short putg t-shirt tamtamang angataw puti balat puno tattoo ibang bahagi kataw pang bangkay laki nam san jose cemetery tagpu brgy san jose gapos higpit buong kataw balot duct tape buo nitong ulo leeg calooc city alyas tisoy tay raang lab nag putok aktuhang benta droga pasay bangkay laki niwalaang miyembro carnappg syndicate tagpu hapon dalg-araw haba roxas boulevard capagal avenue pasay city kilala suspek alyas reggie alyas boy silva alyas to tamo ramg saksak ibang bahagi kataw blanko pasay city police hggil responsable krimen tuloy imbestigasyon hggil sidente bangkay laki wang tama baril saksak kataw hiwalay lugar pasay biktima kilala sina jethro sosa alyas jet-jet bata miyembro sigue-sigue sputnik ira andrews ave brgy zone nichols turang lungsod trick rtez hustong gulang tamo tama bala ibang bahagi kataw aque pang tulak droga patay bilang kipagbaril pulis hiwalay sidente aque city teros dead-on-the-spot suspek all cipriaso tira p dand st brgy la huerta turang lungsod tamo tama bala ibang bahagi kataw imbestigasyon litaw concerned citizen bigay impormasyon aque city police aganap anong pot session bahay tay suspek upang ikasa operasyon samantala teros patay jose ntalion alias rey part time driver welder tira yabut compound lozada st brgy santo rosario bay teros tapos baril kilalang suspek
10 pa nadagdag,C,dagdag lista tay drug personalities ibang bahagi northern luzon drug pusher slang katao sangkot droga dakip bulac pnp raang sagawa one time big-time otbt awtoridad hiwaly buy-bust-operation siyudad bay bulac makalawa slang benedict curpoz residente tapao-tigue curimao ilocos norte ano drug personality sabg lugar gawang buy-bust-operation cabanatu city patay number drug personality kilalang mario memp drid ano riding-in-tandem
"Brgy. treasurer, mister timbog sa droga sa Cotabato",C,arestado asawa tapos rekober pulis halagang p k hinalaang shabu bahay cotabato city hapon aga bandang alas-sais aga asagawa operasyon philippe drug enforcement agency pdea brgy rosary heights tiklo myrah daud asawa nitong samsod salukuyang gat-yam brgy pil northern buntal myrah samantalang bigo nam asawa nitong ndidatong konsehal sabg probsiya tagpu bahay asawang apat drug watch list pdea-armm magazine m-
"19 na PWDs, patay sa stabbing spree",C,patay katao sugat tapos habas naksak laki tokyo japan ulat anap atake loob residential care facility disabled nagawa prefecture sagamihara city timugang bahagi japan samantala kusa ang suko tsukui police station suspek kilalang satoshi uematsu anyos dating empleyado sabg gusali base isyal imbestigasyon kitang pasok suspek sabg silidad dalang bag lam talim sandali biglang saksak salubong syente tapos krimen agad takas suspek sakay saky tungo himpil pulisya upang suko nitong krimen dagsa anak milya syente sabg silidad ambang bilang anak sawi tuloy alam awtoridad motibo krimen
