title,category,content,,
Duterte naging mensahero ni Trump,,"Inamin ni Pangulong Rodrigo Duterte na nagsilbi siyang mensahero ni US President Donald Trump para magtulay ng mensahe sa pangulo ng China hinggil sa isyu ng nagbabadyang giyera sa Korean Peninsula.,Sinabi ni Duterte sa kanyang talumpati sa 27th Philippine Orthopedic Association Mid-Year Convention sa Davao City na pinakiusapan siya ni Trump na tawagan si Chinese President Xi Jinping.,“I had a talk with President Xi Jinping yesterday because he called four days ago to ask me if President Xi Jinping could do something about the situation regarding Kim Jong-un,”paghahayag ng Pangulo.,“So I called President Xi Jinping. I am calling you at the behest of the President of the United States, President Trump. And we are all agreed in the ASEAN and even President Trump, that you can do something. Actually, the biggest contribution of all others is your intervention,” ito umano ang bahagi ng naging phone chat nila ni Xi Jinping.,Hanggang doon lang ang ibinahagi ni Duterte at walang binanggit ang Pangulo kung may napag-usapang posisyon ng China sa tumitinding tension sa Korean Peninsula.,“So I am not at liberty to talk about it because I have to convey my message to… President Trump has not called me yet. But if he’ll call me and said what did —  how did it go? What transpired? Then I will tell him,” giit ng Pangulo.,“But definitely we are getting the help of everybody here. And President Trump, it is recorded. It was recorded. I know that he was recorded, we were recording it also here,”pagdidiin pa ng Pangulo.",,
Tokhang surrenderee itinumba,," Niratrat ng mga ‘di nakilalang kalalakihan ang isang ­50-anyos na pinaratangang ­miyembro ng robbery/hold up gang, habang nagpuputol ng sanga ng punong mangga noong Huwebes ng umaga sa kahabaan ng Rizal-Pinagpanaan Road, ­sakop ng Brgy. Mabini rito.,Sa nakalap na ulat ng Abante sa tanggapan ni Mayor Ronnie ­Pascual, kinilala ang napatay na si Raymond Mariano Evangelista, residente ng Brgy. Mabini, sa bayang ito na binawian ng buhay sa Premiere ­Medical Center sa Cabanatuan City.,Nakarekober ang ­SOCO Team ng mga basyo ng bala para sa ­caliber 45 at ilang ­piraso ng sachet ng ­shabu na umano’y mula sa napaslang.,Ayon pa sa mga ­pulis si Evangelista ay ­dating surrenderee sa “Oplan Tokhang” at sangkot umano sa ­serye ng mga holdapan dito at katabing mga bayan.",,
Probe sa pagkamatay ni ASG Saad,,"Matapos makarating sa kaalaman ni PNP Chief Director General Ronald dela Rosa, kaagad nitong iniutos na imbestigahan ang pagkakapatay sa naarestong ASG member habang inililipat ng kulungan kahapon ng madaling-araw sa Bohol.,Ayon kay Dela Rosa, standard operating procedure ng PNP na imbestiga­han agad ang nasabing insidente ng pagkakapatay kay Abu Saad Kiram.,“May mga tanong kasi kung bakit ibin­yahe o inilipat ng District Jail si Saad at kung bakit kailangan ay mada­ling-araw pa,” pahayag ni Dela Rosa.,Napag-alaman na napatay bandang alas-2:30 ng madaling-araw si Saad matapos umanong mang-agaw ng baril sa isa nitong police escort nang mabi­gong makatakas habang ibinibyahe para ilipat ng kulungan sa Cortes kung saan ito ikukulong sa BJMP facility.,Una namang ipinaliwanag ni Police Regional Office-7 Director Chief Supt. Noli Talino, na minadali na lamang nila ang proseso para makasuhan na agad ang bandido pero minalas itong mapatay.",,
90-day suspension vs 4 DENR off’ls,,"Mahigpit na ipinag-­utos ng ­Sandiganbayan ang pagsuspinde nang 90-araw sa apat na opisyal ng Department of Environment and ­Natural Resources (DENR) na umano’y sangkot sa ­kasong katiwalian.,Ayon sa ­Sandigan­­bayan, lumabag sa Anti-Graft and ­Corrupt Practices Act at ­Illegal Use of Public Funds ang regional director ng DENR sa Baguio City na si ­Joel Salvador, Finance Officer Rolando Reyes, accountant na si Asterio Tolentino Junior, at Budget Officer Perlita Mauri.,Base sa ­impormasyon, ginamit umano ng mga akusado ang ­mahigit 750,000 pesos na pondong inilaan para sa ­ecological solid waste ­management upang ipaayos ang Environmental ­Education and Information Center at ­Regional Director’s ­Office sa Baguio.,Hindi umano sumailalim sa public bidding ang mga biniling construction materials at napagalaman pang ang grupo ni Salvador ang nagpahintulot na bayaran ang mga mater­yales na hindi naman ­pala nai-deliver.,Nakasaad sa ­resolusyon na ipinag-utos ang preventive suspension kasabay ng pagbuo sa validation ng mga detalye sa arraignment ng mga nasabing ­opisyal.",,
27 Sayyaf sumurender,," Inanunsyo kahapon ng militar ang pagsuko ng 27 umano’y mga Abu Sayyaf militants kabilang ang tatlong sub-lea­ders sa Basilan at Sulu provin­ces sa Muslim Autonomous Region sa Mindanao.,Ang anunsyo ng Wes­tern Mindanao Command ay inilabas kasabay ng pagpatay ng pulisya sa nadakip na Abu Sayyaf militant na si Saad Samad Kiram.,Sinabi ni Captain Jo-ann Petinglay, ang spokeswoman ng Wes­tern Mindanao Command, na miyembro ang mga ito ng iba’t ibang grupo diumano ng Abu Say­yaf at isinuko rin nila ang sari-saring armas, kabilang ang mga grenade launchers. Ayon pa kay Petinglay, 19 sa mga ito, kabilang ang sub-leaders na sina Nur Hassan Lahaman at Mudz-Ar Angkun ay sumuko sa 64th Infantry Battalion sa bayan ng Barangay Tumahubong sa bayan ng Sumisip.,Apat na iba pa na sina Patta Salapuddin, Asbi Salapuddin, Sayyadi Salapuddin at Arci Salapuddin na pawang taga-bayan ng Hadji Mohammad Ajul ang sumuko rin sa militar at sabit umano ang mga ito sa March 23 hijacking ng cargo ship Super Shuttle sa karagatan ng Basilan. Apat rin ang sumuko sa bayan ng Indanan sa Sulu.",,
DOJ findings sa Tadeco-BuCor deal tadtad ng maling legal interpretation,,"Tiniyak ng Tagum Agricultural Development Company (TADECO) na balido ang kanilang joint venture agreement (JVA) sa pagitan ng Bureau of Corrections kasabay ng pagtuligsa sa ipinalabas na findings ng Department of Justice (DOJ) sa ginawang pagrebyu sa kasunduan na tadtad umano ng maling interpretasyon ng batas.,Ayon kay TADECO president at CEO Alex Valoria nang basahin nila ang findings ng investigating panel na una nang ipinalabas sa media ni Justice Secretary Vitaliano Aguirre, malinaw nilang napatunayan na mali-mali ang naging interpretasyon nito sa batas, sa bandang huli umano ay kumpiyansa silang maipagtatanggol ang legalidad ng kanilang pinasok na JVA sa BUCOR.,“The DOJ in its fin­dings pointed out that the JVA was ‘fraught with infirmities.’ But, sad­ly, when we read the fin­dings the only conclusion we can respectfully come to is that the findings were fraught with legal misinterpretations,” pahayag ni Valoria.,Tila lito din umano ang TADECO sa findings ng DOJ. Ani ni Valoria, sa findings ng DOJ ay sinabi nitong labag sa batas ang JVA subalit bandang huli ay inirerekomenda din na amyendahan ang JVA para makasunod sa batas.,“The recommendation of the DOJ panel to amend the JVA to make it comp­liant with the law indicates that the justice department deems the contract to be valid” giit pa ni Valoria.",,
Pulis dedo sa tandem,,"Isang pulis na naka­talaga sa Quezon City ­Police District (QCPD) ang napatay makaraang pagbabarilin ng riding-in-tandem habang ang bik­tima ay naglalakad nang harangin sa kahabaan ng Brgy. Maharlika, San Jose del Monte City, Bulacan kamakalawa ng hapon.,Nakilala ang ­biktimang si PO1 ­Arthur Cataluna, 36, nakatalaga sa Camp.Karingal, Quezon City at residente ng Robes III, Barangay Maharlika ng nasabing lungsod na nagtamo ng tama ng bala sa katawan na ikinasawi nito habang mabilis na tumakas ang riding-in-tandem nang matiyak na kanilang napuruhan ang target na pulis.,Pasado alas-kuwatro ng hapon nang maganap ang insidente habang ang biktimang si PO1 Cataluna ay ­naglalakad sa kahabaan ng nasabing ­barangay ­pauwi ­matapos ­mag-duty sa Quezon City ngunit ­bigla itong ­hinarang ng armadong riding-in-tandem saka pinagbabaril hanggang duguan itong bumulagta.",,
Employers tututukan kada rehiyon,,"Mahigpit at ­epektibo nang ipatutupad ng ­Department of Labor and Employment (DOLE) ang labor laws compliance system (LLCS) matapos na maglabas ng Administrative Order No. 159 na bubuo ng regional inspection audit team.,“Ang mga opisyal at empleyado ng DOLE ay inaasahang ­magtatrabaho ng may katapatan at mas mahigpit na ipatutupad ang mga batas sa pag­gawa, higit sa lahat ang mga kawani na kabilang sa implementasyon ng pagsunod sa LLCS gene­ral ­labor at ­occupational health and safety ­standards,” ayon kay Labor Secretary Silvestre Bello III.,Inatasan ng kalihim si Undersecretary Joel Mag­lunsod upang ­pamunuan ang audit team bilang chairman, kasama si Undersecretary Bernard Olalia bilang co-chairperson.,Ang mga itinalagang opisyal ay aagapay sa mga regional director at mga labor laws compliance officer para sa implementasyon ng LLCS. Sila rin ang tutukoy sa mga isyu at kakulangan sa polisiya at operasyon ng mga LLCS at magbibigay ng mga rekomendasyon upang maresolba ang mga ito.",,
Pulis patay sa buy-bust,,"Patay ang isang ­pulis na nakialam sa isang buy-bust operation matapos na ito ay makipagbarilan sa mga nag-o-operate na pulis sa Mercado Village, Brgy. ­Pulo Sta. Cruz, Sta. Rosa City, Laguna kamakalawa ng gabi.,Kinilala ang ­nasawing pulis na si PO3 Harry ­Cabacang na nakatalaga sa Laguna PPSSC.,Batay sa report bandang alas-9:45 ng gabi, nagsasagawa ang mga miyembro ng Sta. Rosa Police ng buy-bust opera­tion laban sa isang alyas ‘Utoy’ at tatlo pang kasama nito kung saan naaresto ang mga ito at narekober ang 18 plastic sachet ng shabu.,Subalit nang ­inaaresto na ang mga suspek, ­dumating ang nakasibilyang si Cabacang na sakay ng isang motorsiklo at sa ‘di malamang dahilan ay nagbunot ito ng baril at itinutok sa opera­tibang kinilalang si PO1 Cruzen.,Walang nagawa si Cruzen kundi barilin ang ‘di nakikilalang pulis.",,
3 airmen sa chopper crash tinukoy na,,"Kinilala na ang tatlong kasapi ng Philippine Air Force na nasawi at isang sugatan sa nag-crash na huey chopper kamaka­lawa ng hapon sa Tanay, Rizal.,Ayon kay Lt. Gen. Edgar Fallorina, PAF Commanding General, kabilang sa namatay ay si Air Force pilot na si Captain Christian Paul Litan, pilot-in-command, 30, taga-Mataas na Kahoy, Batangas; dalawang crew nito na sina crew chief PAF Sgt. Byron Tolosa, 38, ng Villamor, Pasay City at gunner Airman First Class Joseph de Leon, 30, na tubong Lingayen, Pangasinan. Sugatan naman ang command pilot na si First Lt. Ceazar Rinas, 27, mula General Trias, Cavite.,Ang mga biktima ay pawang sakay ng UH1 helicopter nang bumagsak kamakalawa ng bandang alas-tres ng hapon sa Hilltop, Sampaloc, Tanay, Rizal.,Nagsasagawa ng air to ground training at disaster rescue operations training­ nang bumagsak ang nabanggit na UH1 helicopter ng PAF.,Iginiit naman ng Phi­lippine Air Force (PAF) na dumaan sa air worthiness test ang helicopter na bumagsak sa Tanay, Rizal. Sinabi din ni Col. Antonio Francisco, tagapagsalita ng PAF, regular na dumadaan ang kanilang mga sasak­yang panghimpapawid sa kaukulang inspeksyon bago payagang lumipad.,DND kinalampag sa pagbili ng karag-karag na aircraft,Kinalampag naman kahapon ni Sen. JV Ejercito ang Department of National Defense (DND) at Armed Forces of the Phi­lippines (AFP) na huwag nang bibili ng karag-karag na aircraft dahil bukod sa nasasayang lang ang pera ng taumbayan, sayang din ang buhay ng tao kapag bumagsak ang mga ito.",,
