title,category,content,,
Shoot to kill',C,"Nagpalabas ng 'shoot to kill' order si Manila Police District (MPD) Director PSSupt Joel Napoleon Coronel, sa sandaling manlaban sa mga aarestong miyembro ng kapulisan, laban sa Army reservist na kinilalang suspek na bumaril at nakapatay sa isang biker noong Hulyo 25 ng gabi sa Quiapo, Maynila. Sa isang press conference, binigyan lamang ng hanggang alas-singko kahapon ng hapon ni Coronel ang suspek na si Philippine Army (PA) Reservist Vhon Tanto, 39, na taga No. 358 Fraternal St.  Quiapo, Maynila para sumuko. ""The whole force of Manila Police District will go after him. No extension of deadline. He is armed and dangerous as you see the video how he shot the unarmed victim, with no remorse,""  ayon kay Coronel. Sinabi pa ng opisyal na sa sandaling manlaban si Tanto, ipatutupad ang shoot to kill laban dito. Kaugnay nito, iimbestigahan rin ng MPD kung sangkot si Tanto sa operasyon sa pagbebenta ng iligal na droga dahil bukod sa pagiging PA reservist, ang trabaho lamang nito ay mag-repair ng mga scooter at motor habang ang kanyang misis ay nagtitinda ng barbecue sa tapat ng kanilang bahay. ""Paano ka makakabili ng brand new na sasakyan kung ganun lang ang trabaho mo at may pamilya ka? Saan nanggaling yon?,""  pahayag naman ni SPO2 John Charles Duran, imbestigador at hawak ng kaso. Kasabay nito, nilinaw ni Coronel na MO3745 ang conduction sticker ng kulay pulang Hyudai EON at hindi MO3746 na una nang naialarma ng MPD, ang sasakyan na minamaneho ni Tanto. Nalaman na nakilala umano si Tanto sa Brgy. 385 Zone 39 dahil kumuha umano ito ng clearance doon para sa kanyang anak na nag-aaral sa day care. Sanhi nito, nilinis na ang pangalan ng isang Nestor Punzalan, na lumutang sa National Bureau of Investigation (NBI) at may-ari ng kulay pulang Hundai EON na may conduction sticker na MO3746 at nagpaabot na hindi siya ang suspek sa pagpatay sa biktimang si Mark Vincent Geralde, 35, isang gaming attendant. Base sa kuha ng CCTV ng Barangay 385 Zone 39, naglalakad ang biktima nang biglang huminto ang pulang kotse. Lumabas ang suspek at nagpambuno sila ng biktima. Hindi kinaya ni Tanto ang biktima at pinaniwala nito si Geralde na nagkaayos na sila para makawala sa pagkakasakal pero nang bumalik sa sasakyan ay kinuha nito ang kanyang .45 kalibreng baril at saka nilapitan ang biktima at pinagbabaril ng apat na beses. Sa impormasyon nakuha, bago nagsuntukan ang dalawa nabatid na nasagi ng suspek ang minamanehong bisekleta ng biktima dahilan para magtalo ang dalawa.",,
Tanod na 'tulak' itinumba sa barangay hall,C," "" Sa loob ng compound ng kanilang barangay hall itinumba ang isang barangay tanod na nakatala sa drug watch list sa bayang ito noong Miyerkules ng gabi. Sa ulat ni P/Sr. Inspector Arnel Aguilar sa tanggapan ni Mayor Arvin Salonga nakilala ang napaslang na si Conrado de Guzman Talens residente ng Purok 3, Bgy. Tikiw sa bayang ito. Nabatid na dakong alas-7:30 ng gabi nasa loob ng compound ng barangay hall si Talens nang may dumating na salaring riding-in-tandem. Lalapitan sana ni Talens ang mga akala'y panauhin nang biglang bumunot ng baril ang salarin at pinaputukan ng tatlong beses ang biktima na namatay noon din.",,
"Mapa-senior, minor sumusuko sa droga",C,"Patuloy ang pagsuko ng mga nasasangkot sa iligal na droga kung saan sa isang 60-anyos na lolo at 9-anyos na bata ang sumuko sa Maco, Davao del Norte. Kasabay sila ng libong bilang pa ng mga drug personalities na sumurender sa panig ng pamahalaan. Ayon sa PS/Supt. Melanie Hermosisima, umabot na sa 1,200 ang sumuko sa nabanggit na lungsod ng Maco. Tatlo sa mga ito ay umamin na nagtutulak ng droga. Ang iba ay mga alipin na ng ipinagbabawal na gamot. Ayon sa hepe ng pulisya, may programa ang lokal na pamahalaan ng naturang lugar para matustusan ang rehabilitasyon ng mga biktima ng iligal na droga.",,
Driver-pusher dinampot sa terminal,C,"Arestado ang isang bus driver na umano'y tulak ng iligal na droga matapos ang isinagawang buy-bust operation sa loob ng bus terminal ng Elavil Transit sa bayan ng Magallanes, Sorsogon. Hindi na nakapalag ang suspek na nakilalang si Rodolfo Cornelio Jr.  45, No. 1 drug personality ng nabatid na bayan at residente ng Bgy. Matacon, Polangui, Albay, matapos na mapaligiran ng pulisya at makuha sa pag-iingat nito ang ilang sachet ng shabu gayundin ang marked money na ginamit ng police poseur buyer sa operasyon. Sa ulat ng pulisya, nagsagawa ng buy-bust operation ang mga tauhan ng Magallanes PNP dakong ala-1:15 ng hapon sa loob ng Elavil bus terminal sa Barangay Central ng nasabing bayan at bumili ng halagang P500 shabu sa suspek. Matapos makipagpalitan ng pera at droga ay agad na sumenyas ang poseur buyer bilang hudyat ng pag-aresto sa suspek na hindi na nakuha pang makapalag.",,
"Estudyante sa Laguna, patay sa frat war?",C,"Nakatutok sa anggulong frat war ang Calamba City Police sa naganap na pamamaril sa isang estudyante sa Calamba City kamakalawa. Sinabi ni Calamba City Chief of Police S/Supt. Fernando Ortega na dito sumesentro ang kanilang imbestigasyon matapos lumitaw sa imbestigasyon ang pangalan ng dalawang fraternity organization sa lungsod. Bandang alas-4:30 ng hapon ng barilin ng hindi nakilalang suspek ang 20-taong gulang na estudyanteng si Eric Alvarez Alarcon sa Ipil-Ipil St.  Bgy. Halang, Calamba City na ayon sa pinakahuling report ay binawian na ng buhay. Naglakad lang umano palayo ang suspek na nakasuot ng bullcap matapos ang pamamaril.",,
Washington binulabog ng bomb threat,C,"Binulabog ng bomb threat ang main railway terminal sa Washington sa pangambang umatake muli ang teroristang Islamic State. Sa ulat, nakatanggap ng tawag ang mga awtoridad mula sa hindi na nagpakilalang suspek at sinabing may bombang sasabog sa Union station na main railway station ng Washington. Dahil dito agad na pinalikas ang mga tao at pasahero ng nasabing tren kung saan nakitang nagtakbuhan palabas at palayo ng nasabing istasyon ang mga ito. Agad ding dumating ang may 20 pulis cars, bumbero, ambulansya at mula sa U.S. Department of Homeland Security's Federal Protective Service kinordonan ng mga kapulisan ang naturang lugar at hinanap ang sinasabing pampasabog. May mga bomb-sniffing dog rin na ipinakalat sa lugar kung saan wala namang nakitang anumang bomba dito.",,
Pari ginilitan habang nagmimisa,C,"Nasawi ang isang Katolikong pari matapos gilitan habang ito ay nagsasagawa ng misa sa Normandy, France. Ayon sa ulat, nakilala ang nasawing biktima na si Rev. Jacques Hamel, 84-anyos, na inatake ng dalawang teroristang Islamic State sa Saint-Etienne-du-Rouvray church sa Normandy. Maliban sa nasabing pari, nagawa pang mang-hostage ng mga suspek, ang apat na biktima na kinabibilangan ng dalawang madre at dalawang churchgoers. Makalipas ang ilang minuto ay nagsagawa ng pag-atake ang mga awtoridad hanggang sa magkaroon ng palitan ng putok at duguang humandusay ang mga suspek habang sugatan ang isa sa mga hostage. Nabatid na ang pag-atake ng IS ay dalawang linggo matapos ang pag-araro ng isang truck sa Nice, France kung saan 84-katao ang nasawi. Agad namang kinondena ni French President Francois Hollande, ang pagpatay sa alagad ng simbahan. Habang tinawag naman ni Pope Francis na 'terrible news' ang nangyari sa France na isang nakakagimbal na pag-atake sa simbahan sa France.",,
"3 estudyante, 2 pa dinampot sa Dagupan pot-session",C,""" Timbog ang limang katao kabilang na ang tatlong estudyante matapos na maaktuhang nagpa-pot session sa lungsod na ito kamakalawa. Kinilala ng mga awtoridad ang mga suspek na sina Berni Lopez, 48-anyos, tricycle driver, residente ng barangay Herrero-Perez; Patricio Laguit, 45-anyos, residente ng Villa Sta. Barbara; at mga college students na sina Edmel John Diamola, 20-anyos, residente ng barangay Legaspi, Tayug; Arvin Alvendo, 22-anyos at isang menor-de-edad na lalaki at kapwa residente ng barangay Cacayasin, Burgos ng lalawigang ito. Naaktuhan umano ang mga ito na nagpa-pot session sa loob ng bahay ng suspek na si Lopez kaya kaagad na dinala ng mga awtoridad sa kanilang himpilan. Nakumpiska ang isang sachet ng shabu at drug paraphernalia.",,
Wanted sa Hawaii timbog sa Laguna,C,"Arestado sa Laguna ang isang 52-anyos na US citizen dahil sa kasong sexual assault sa Hawaii. Si Jimmy Cinense, isang US citizen, tubong Guimba, Nueva Ecija at kasalukuyang residente ng Looc, Calamba City, Laguna ay inaresto kamakalawa ng mga tauhan ng Laguna PIB, Calamba Police mga taga Bureau of Immigration and Deportation at ng mga tauhan ng US Embassy na pinamumunuan ng isang Thea Tolentino. Ito ay sa bisa ng Grand Jury Bench Warrant na inisyu ni Judge Richard Perkins ng Circuit Court of the First Circuit, State of Hawai'i, sa kasong ""Three counts of sexual assault and Continuous Sexual Assault of a minor Under the age of fourteen years""  sa insidente na nagyari sa Hawaii. Si Cinense ay inerekomendanng maglagak ng piyansang $250,000.00 na katumbas ng humigit kumulang sa P11,796,375.00.",,
Kaliwa't kanang summary execution!,C,"Patuloy ang pagbulagta ng mga hinihinalang drug suspects at ibang sangkot sa krimen sa iba't ibang lugar sa Metro Manila at karatig lugar bunsod nang pinaigting na kampanya laban sa droga ng pamahalaang Duterte. Sa Navotas, dalawang hindi pa nakikilalang lalaki ang natagpuang patay na itinapon sa gilid ng kalsada sa isang sementeryo kahapon ng madaling-araw. Natagpuan ang mga labi ng unang biktima sa kahabaan ng Road 10, Brgy. North Bay Boulevard South (NBBS) na inilarawang nakasuot ng itim na maong short, puting t-shirt, may katamtamang pangangatawan, may kaputian ang balat at puno ng tattoo sa iba't ibang bahagi ng kanyang katawan. Ang isa pang bangkay ng lalaki ang nakita naman sa San Jose Cemetery na matatagpuan sa Brgy. San Jose, nakagapos ng mahigpit ang buong katawan at nakabalot ng duct tape ang buo nitong ulo hanggang leeg. Sa Caloocan City, isang alyas Tisoy ang napatay makaraang manlaban at nag paputok nang maaktuhang nagbebenta ng droga. Sa Pasay, tatlong bangkay ng lalaki na pinaniniwalaang miyembro ng isang carnapping syndicate ang natagpuan kahapon ng madaling-araw sa kahabaan ng Roxas Boulevard at Macapagal Avenue, Pasay City. Nakilala ang mga suspek sa mga alyas 'Reggie',alyas 'Boy Silva' at alyas 'Toto', nagtamo ang mga ito ng maraming saksak sa iba't ibang bahagi ng kanilang katawan. Blanko pa ang Pasay City Police hinggil sa mga responsable sa krimen habang patuloy na ang ginawang imbestigasyon hinggil sa insidente. Habang anim na bangkay ng lalaki na pawang may tama ng baril at saksak sa katawan ang nakita sa magkakahiwalay na lugar sa Pasay. Dalawa sa anim na biktima ay nakilala na sina Jethro Sosa, alyas 'Jet-Jet', 27, binata, miyembro ng Sigue-Sigue Sputnik at naninirahan sa No. 255 Andrews Ave.  Brgy, 185, Zone 19, Nichols ng naturang lungsod at si Patrick Martinez, nasa hustong gulang na kapwa nagtamo ng tama ng bala sa iba't ibang bahagi ng katawan. Sa Para aque, dalawa pang 'tulak' ng droga ang patay kabilang dito ang isang nakipagbarilan sa mga pulis sa magkakahiwalay na insidente sa Para aque City at Pateros. Dead-on-the-spot ang suspek na si Allan Cipriaso, 34, nakatira sa #5210 P. Dandan St.  Brgy. La Huerta ng naturang lungsod, nagtamo ito ng ilang tama ng bala sa iba't ibang bahagi ng katawan. Sa imbestigasyon, lumitaw na isang concerned citizen ang nagbigay ng impormasyon sa Para aque City Police na may nagaganap umanong pot session sa bahay ng napatay na suspek dahilan upang ikasa ang operasyon,Samantala, sa Pateros, patay ang  isang Jose Pantalion alias 'Rey', 48, part time driver at welder, nakatira sa Yabut Compound, M. Lozada St.  Brgy. Santo Rosario, bayan ng Pateros matapos pagbarilin ng hindi pa nakikilalang mga suspek.",,
