"Misis, kapatid patay sa nag-amok na mister",C,"Nagtapos sa madugong wakas ang ginawang pag-amok ng isang construction worker nang barilin ito ng mga awtoridad, makaraang mapatay nito ang kanyang misis at kapatid na babae ng suspek habang sugatan naman ang anak na lalaki nito sa Dalaguete, Cebu City.,Ayon sa Dalaguete Police Station, nakilala ang nasawing suspek na si  Jose Benjie Beldad, 39, na napilitan ang mga awtoridad na barilin matapos na sugu­rin nito ang mga pulis habang armado ng balisong.,Bago mangyari ang insidente ay unang nag-amok ang suspek at pinatay nito ang kanyang mismong maybahay na si Wilma na kanyang ginilitan habang pinagsasaksak naman hanggang sa mapatay ang sariling kapatid na babae na si Amalia.,At bagama’t nagtamo ng saksak ay masuwerte namang nakaligtas ang anak na 12-anyos na l­alaki ng suspek na nakatakas matapos tangkain pa nitong i-hostage.,Ayon sa Dalaguete-PNP, lumilitaw na ang suspek na si Beldad ay dumaranas ng nervous breakdown hanggang sa bigla na lang itong mag-amok at basta na lang umano nito inatake ang kanyang misis.,At nang makita ang kapatid na si Amalia ay basta na lang umano pinagsasaksak na siyang agarang ikinasawi ng mga biktima.,Tinangka umanong sugurin ng suspek ang mga rumespondeng pulis kung kaya’t napilitan na itong paputukan ng baril na naging sanhi ng kanyang kamatayan.",,
Ginang tinodas habang tulog,C,"Patuloy ang ginaga­wang imbestigasyon sa motibo ng pamamaslang sa isang ginang na pinasok ng hindi pa kilalang mga suspek sa loob ng bahay at pagbabarilin habang natutulog kahapon ng madaling-araw sa Libon, Camarines Sur.,Kinilala ang biktima na si Josephine Sandrino, tindera ng isda at residente ng Sitio La Medalla, Brgy. Bonbon ng nabatid na bayan, ito ay nagtamo ng mga tama ng bala mula sa hindi pa batid na kalibre ng baril.,Sa imbestigasyon ni Arlan Sevilla ng Libon PNP, may hawak ng kaso, dakong alas-kuwatro ng madaling-araw ng makarinig ng ilang putok ng baril ang mga kapitbahay ng biktima at nang kanila umanong silipin ay dalawang armadong lalaki ang nakita nilang lumalabas ng bahay ng ginang.",,
8 bulagta sa droga,C,"Walong katao ang namatay sa magkakahiwalay na drug operations sa Maynila, Pateros at Makati City.,Sa Maynila, nasawi ang anim na hinihinalang sangkot sa iligal na benta­han ng droga, habang ­apat pa ang naaresto sa magkakasunod na buy-bust operation na isina­gawa ng mga operatiba ng Manila Police District (MPD) sa isang lod­ging house at ilalim ng tulay, sa loob lamang ng pitong oras.,Ayon sa MPD-Station 3 (Sta. Cruz), dakong 5:30 ng hapon kamakalawa nang mapatay ng mga pulis ang mga drug suspects na sina John Ryan Verano, Rommel Aquino at Jester Luces, sa isinagawang buy-bust operation ng mga pulis sa loob ng Amy’s Lodge na matatagpuan sa Gonzalo Puyat St., malapit sa Evangelista Street sa Quiapo.,Sa naturang operasyon ay tatlong suspek ang nahuli na sina Laima Borja, Archie Cruz, isang dismissed na pulis, at Alex Abacial.,Nakumpiska mula sa kanila ang tatlong kalibre .38 revolver at ‘di pa batid na bilang ng plastic sachet ng shabu.,Dakong ala-1:10 ng madaling-araw nang mapatay ng mga pulis Sherdy Arellano, alyas ‘Cerdi,’ 35, at Francis Valiente, alyas ‘Alang,’ 26, kapwa residente ng Pacheco St., Tondo, Manila, matapos na manlaban sa buy-bust operation sa loob ng tahanan ni Arellano. Nadakip rin sa naturang ope­rasyon si Julius Evangelista, alyas ‘Botchok’.,Sa Pateros, isang lalaki ang napatay ng tandem  samantalang  isang binata na umano’y sangkot sa droga ang  pinagbabaril sa  Makati City kahapon ng mada­ling-araw.",,
Biktima ng salvage,C," — Isang tama ng baril sa ulo ang ikinamatay ng ‘di pa kilalang biktima ng salvaging na ­natagpuang nakahandusay sa gilid ng Santa Rosa-Dingalan road, Purok 4, Brgy. Liwayway dito noong Huwebes ng gabi.,Sa ulat ni P/Chief Ins­pector Jeffrey Alivia, ang hindi pa nakikilalang lalaki ay tinatayang nasa edad pagitang 28-33, may taas na 5’6”-5’7”; nakasuot ng kulay navy blue na t-shirt na may markang “WICKED FOURTH Super Bowl XLIX Champions” at khaki shorts.,Ayon sa ilang nakasaksi, dakong alas-8:20 ng gabi, nakaparada ang isang kulay pulang van sa gilid ng lansangan na nakaharap patungong Fort Magsaysay.,Bigla umanong ibi­naba ang biktima at pinaputukan sa ulo, saka mabilis na tumakas ang mga salarin.,Pansamantalang inila­gak sa Buenaventura Funeral sa Brgy. La Fuente rito ang ‘di kilalang bangkay.",,
2 patay sa pamamaril sa San Pablo City,C,"Dalawa ang patay sa pamamaril San Pablo City, Laguna kamakalawa ng gabi.,Kinilala ang mga nasawi na sina Angelito Tapay y Punzalan, 39-anyos at Emelyn Magcawas, 46 na taong gulang.,Batay sa imbestigasyon ng San Pablo Police, dakong alas-7:30 ng gabi, mag-isang nag-iinom sa isang tindahan sa tabing kalsada ang biktimang si Tapay nang biglang dumating ang riding-in-tandem suspek.,Walang sabi-sabing pinagbabaril ng mga ito ang biktima na nagtamo ng tama sa iba’t ibang bahagi ng katawan.,Nahagip naman ng ligaw na bala si Magcawas na nakaupo lamang ‘di kalayuan kay Tapay., Inaalam pa ng mga awtoridad ang motibo sa pamamaril at kung sino ang mga salarin.",,
EJK victims sa Bulacan lumobo,C,"Umabot na sa 200 ang bilang ng mga naging biktima ng extrajudicial killings (EJKs) sa Bulacan makaraang pitong katao pa, kabilang ang limang minasaker sa isang drug den, ang napatay matapos pagbabarilin ng mga hindi kilalang armadong vigilante sa bayan ng Plaridel, Norzagaray at San Rafael, Bulacan kamakalawa.,Kinilala ng pulisya ang mga napaslang na sina alyas ‘Alma’, Gregorio Castillo, Ada Ravien Torne, Reynaldo Fajardo at isang alyas ‘Jason’, pawang re­sidente ng Brgy. Lumang Bayan at Banga 1st sa Plaridel; Ruben Esquivel ng Brgy. Poblacion, Norzagaray at Nupronio Nagayo ng San Rafael, Bulacan na pawang nagtamo ng mga tama ng bala sa katawan.",,
Mag-ina niratrat,C,"Patay ang isang ginang habang sugatan naman ang anak nitong babae makaraang pagbabarilin ng mga hindi nakilalang suspek sa Brgy. Cabatang, Tiaong, Quezon kamaka­lawa ng hapon.,Kinilala ang nasawi na si Mercedita Garces Capina na nagtamo ng tama ng bala sa dibdib at sa likod habang nagtamo naman ng tama sa binti ang anak nito na si Kyla.,Sa imbestigasyon ng Tiaong police, nasa harap ng kanilang tahanan ang mag-ina nang duma­ting ang tatlong suspek na sakay ng tricycle at bigla na lamang pinagbabaril ang ginang.,Naisugod pa ito sa ospital kasama ang anak, at habang nag-aagaw buhay ay pinipilit na sabihin sa mga awtoridad kung sino ang mga suspek subalit nalagutan na ito ng hini­nga bago pa ito nagawa.",,
"Magkamag-anak nagduwelo, kapwa patay",C,"Kapwa bumulagtang walang buhay ang magkamag-anak na sina Damaso Vasquez, 77-taong gulang at si Danilo Vazquez, 63-anyos, makaraan ang dalawa ay magduwelo sa pamamagitan ng kutsilyo sa Market Road Brgy. Batong Ma­lake, Los Baños, Laguna, kamakalawa.,Batay sa imbestigasyon ng pulisya, kaka­baba lang sa tricycle ni Damaso ng big­lang sugurin at saksakin ito ng nag-aabang na si Danilo.,Bagama’t nagtamo ng tama sa katawan nagawang makaganti ng saksak ni Damaso gamit ang isa ring kutsilyo.,Kapwa wala ng buhay na nakabulagta sa kalsada ang dala­wa nang dumating ang mga nagrespondeng pulis.,Isang araw bago umano naganap ang saksakan, nagkaroon ng mainitang pagtatalo ang dalawa dahil sa isang matagal ng alitan.",,
2-BUWANG SANGGOL NAMATAY SA SUNTOK,C,"Kalunus-lunos ang naging katapusan ng buhay ng 2-buwang gulang na sanggol na lalaki matapos na magtamo ng malalang pinsala sa ulo matapos na walang habas na pagsusuntukin ng kanyang sariling tiyuhin na lango sa iligal na droga kahapon ng madaling-araw sa Caloocan City.,Sa ulat ni PS/Supt. Ferdie del Rosario ng Caloocan City Police, pasado alas-tres ng madaling-araw nang maganap ang insidente sa loob mismo ng pamamahay ng mga ito sa BMBA Compound, 2nd Avenue, Brgy. 120 ng nasabing lungsod.,Kasalukuyan umano noong mahimbing na natutulog ang sanggol na si Mark Genesis Cornelio, dalawang buwang gulang kasama ang ina nito nang biglang pumasok sa kanilang silid ang suspek at sa hindi malamang dahilan ay walang anu-anong pinagsusuntok sa ulo ang kawawang sanggol.,Doon na nagising ang ina ng biktima at nang makita ang ginagawa ng kapatid ay mabilis niya itong inawat at paghinto nito ay bigla na lamang umanong nagtatakbo pa­labas ng bahay at tumakas.,Hindi na naisu­god sa pinakamalapit na pagamutan ang biktima dahil agad itong nasawi. Sa isinagawang follow-up operation ng mga awtoridad ay nasakote rin naman agad suspek na napag-alamang high sa shabu nang maganap ang insidente.",,
Mag-asawang Bumbay patay sa holdap,C,"Patay ang mag-asawang Indian nationals matapos na pagbabarilin ang mga ito sa loob ng sasakyan ng riding-in-tandem na mga holdaper kamakalawa sa kahabaan ng Andaya highway sakop ng bayan ng Lupi, Camarines Sur.,Kinilala ang mag-asawang biktima na sina Bahagwant Singh Butar, 45 at asawang si Jaswinderkaur, 36, pawang Indian nationals na may negosyong pautang at residente ng Brgy. San Bartolome, Sipocot ng nabatid na lalawigan.,Samantala, unang naaresto matapos na mabaril ni PO1 Jeric Matamorosa ang isa sa suspek na nakilalang si Marvin Magdaong habang nadakip naman sa hot pursuit operation ng pulisya ang kasama nitong si Rodolfo Gumatay, ang dalawang suspek ay parehong may tama ng bala at kasalukuyang nasa Bicol Medical Center.,Ayon kay Malu Calubaquib, tagapagsalita ng Police Regional Offcie (PRO) 5 sa Camp Simeon Ola, dakong alas-8:45 ng umaga nang holdapin ng mga suspek ang mag-asawang Bumbay na sakay ng Mitsubishi Strada sa kahabaan ng Andaya highway sakop ng Brgy. Cabutagan ng nasabing bayan.",,
"5-anyos, 21-oras na ginahasa ng kidnapper",C,"Arestado ang isang 20-anyos na binata makaraang kidnapin ang isang 5-anyos na batang babae bago dinala sa isang bakanteng kubo at paulit-ulit na gahasain sa loob ng 21-oras sa gitna ng bukid sakop ng Brgy. Lambakin, San Miguel, Bulacan kamakailan.,Ayon kay P/Senior Supt. Romeo M. Cara­mat Jr., Acting Provincial Director ng Bulacan-PNP, nakilala ang nadakip na suspek na si Marlon Guiang, 20-anyos, binata ng Brgy. Lambakin, San Miguel na nakadeti­ne ngayon sa San Miguel Municipal Jail at nahaharap sa kasong kidnapping at rape.,Ang suspek na si Guiang ay kaagad umamin sa umarestong awtoridad sa pangunguna ni P/Supt. Joel Estaris, na kanyang tinangay at ginahasa sa loob ng dalawampu’t isang oras ang biktimang itinago sa pangalang Ine, 5-anyos na kaagad dinala sa Bulacan Provincial Crime Laboratory sa Malolos City upang makuhanan ng medico-legal examination.,Nabatid na iniulat ng lolo ng biktima na nakilalang si Rowell Lopez y Pacaigui sa himpilan ng San Miguel police na nawawala ang kanyang apong biktima si­mula noong alas-singko ng hapon noong Nobyembre 18 kaya nagsagawa ng paghahanap ang awtoridad at pamilya ng paslit bago natagpuan sa abandonadong kubo sa gitna ng bukid dakong alas-dos ng hapon kinabukasan sa Brgy. Lambakin, San Miguel.,Dito na umamin ang biktimang si Ine sa kanyang ama na dinala siya ng suspek na si Guiang sa nasabing bakanteng kubo bago ginahasa kaya kaagad na nagsagawa ng operasyon ang pulisya at makorner ang suspek na inamin namang kinidnap ang bata saka niya ito ni-rape at ginawan ng kalaswaan.",,
Konsehal patay sa tandem,C,"Labing tatlong tama ng punglo ang naging daan ng kamatayan ng isang dating konsehal ng Naujan, Oriental­ Mindoro matapos tambangan ng riding-in-tandem noong Sabado ng hapon.,Sa report na ipinarating kahapon sa Camp Crame ni MIMAROPA Police Public Information Officer,  Supt. Imelda Tolentino, minamaneho ni Wilson Adra Viray ang kanyang sasakyan habang pauwi nang biglang ata­kihin ng mga suspek sa Sitio 5, Barangay Sampaguita noong Sabado ng hapon.,Dead on the spot ang biktima dahil sa 13 tama ng punglo sa iba’t ibang bahagi ng katawan habang sinuwerte namang hindi nasaktan ang kanyang kasamang pasahero na si Ellie Capacao Gomer, isang magsasaka sa Barangay Paitan.",,
BANGKAY HINUKAY PARA REYPIN,C,"Kalaboso ang isang lalaki matapos gahasain­ ang kalilibing pa lamang na bangkay sa Mati, Davao Oriental.,Napag-alaman na Nobyembre 14 nang ilibing ang bangkay ng isang 22-anyos na babae sa sementeryo sa Barangay Taguibo, Mati City, Davao Oriental. Namatay­ ang biktima­ noong Nobyembre 5 dahil­ sa sakit na ­leukemia.,Laking gulat ng kamag-anak ng 22-anyos na bangkay nang makitang nakabukas ang nitso nito kaya agad nila itong ipinasiyasat.,Dito nalaman na ­tinungkab ng isang alyas ‘Bibo’ ang nitso at ginahasa ang bangkay. Nagkalat din sa labas ng nitso ang mga damit at nang suriin ay walang saplot ang bangkay.,Natuklasan na ­lamang na ang suspek ang responsable sa krimen nang humingi ito ng ­sabon ­para maligo dahil sa ­amoy ­formalin daw ito.,Ayon kay Barangay Chairman Rico Mabawad, may diperensya sa pag-iisip ang suspek kaya nagawa nito ang krimen.,Agad dinakip ng Mati Police ang suspek pero­ pinalaya rin dahil hindi­ nagsampa ng reklamo ang pamilya ng nasawi.",,
