title,category,content,,
PAL accident sa KIA sisilipin,D,"Nagdispatsa ng mga imbestigador ang Ci­vil Aviation Authority of the Philippines (CAAP) mula sa office of Aircraft Accident Investigation and Inquiry Board (AAIIB) upang alamin ang naganap na aksidenteng kinasasangkutan ng Airbus A320 ng Philippine Airlines (PAL) sa Kalibo International Airport (KIA) kamakalawa ng gabi.,Base sa panguna­hing ulat na natanggap ng CAAP mula kay Efren Nagrama, Area Manager Vl, isang Airbus A320 na ino-operate ng PAL na galing sa Cebu-Mactan Airport patungo sa KIA ay nagkaroon ng engine trouble habang lumalapag ito sa runway bandang alas-10:50 ng gabi,Ayon kay Nagrama, matiwasay naman na nakalapag ang nabanggit na flight at walang pasaherong nasaktan.,Ang eroplano ay pan­samantalang naka-park sa rampa ng KIA habang hinihintay ang mga aircraft mechanic na magmumula pa sa Manila.,Kaugnay nito, nakakalapag ang mga commercial airlines na luma­lapag sa Ninoy Aquino Internaional Airport (NAIA) ramp kahit na may low pressure area­ (LPA) dala ng sama ng panahon.",,
Full blown probe na sa ‘tokhang-for-ransom’,,"Tinatrabaho na nga­yon ng PNP-Anti Kidnapping Group ang hindi bababa sa walong taong posibleng kasabwat ng itinuturong pulis na responsable sa pagdukot sa isang Korean national na si Jee Ick-Joo.,Sinabi ni PNP-AKG director Sr. Supt. Glenn Dumlao, nasa estado sila ngayon ng pagtukoy kung sinu-sino o ano ang pagkakilanlan ng mga taong nasa likod ng krimen.,Gayunman, hindi pa masabi ni Dumlao kung ang mga nasabing tao ay mga pulis din dahil posibleng may kasabwat na pulis din ang suspek na si SPO3 Ricky Sta. Isabel at may mga sibilyan din.,Pansamantalang tumanggi si Dumlao na idetalye ang kanilang ope­rasyon upang hindi mabulilyaso.,Dito inamin na Dumlao na hindi madali para sa kanila na kornerin at paaminin si Sta. Isabel sa nangyaring krimen dahil bilang isang pulis ay marunong din itong dumiskarte at magpalusot.,Gayunman, iginiit ni Dumlao na hindi basta na lamang malulusutan ni Sta. Isabel ang kaso dahil may mga hawak silang ebidensya at mga testigo na magdidiin sa na­ging papel o partisipasyon ­nito sa insidente.,Kaugnay nito, nagpahayag naman ng kahandaan si Sta. Isabel na magpakulong sa National Bureau of Investigation (NBI) o kaya sa Department of Justice (DoJ) para linisin ang kaniyang pangalan.,Ayon kay Sta. Isabel, nais nitong linisin ang kanyang pangalan na idi­nadawit sa pagdukot sa nasabing Korean ­national na hanggang ngayon ay hindi pa nakikita.,Lalo pang pinabibi­gat ng pulis na isinasangkot sa “tokhang for ransom” na si SPO3 Ricky Sta. Isabel ang kanyang kaso dahil sa pagmamatigas na sumailalim sa kustodiya ng PNP.,Ayon kay PNP Chief Director General ­Ronald dela Rosa, maliban sa CCTV footage at iba pang ebidensya, may testigo rin silang nakakita kay Sta. Isabel nang dukutin ang dayuhan.,Pero ayaw na umano ni Dela Rosa na magbigay ng false hope sa pamilya ng biktima, dahil sa tatlong buwan na pagkawala nito kahit nakapagba­yad ng ransom.",,
135 alien fugitives naaresto ng BI,,"Aabot sa 135 dayuhan na pawang illegal alien o dayuhang nagtatago sa bansa ang naaresto ng Bureau of Immigration (BI) noong nakalipas na taon.,Sinabi ni Immigration Commissioner Jaime Morente na ang nasabing mga dayuhan ay nahuli sa iba’t ibang panig ng bansa kung saan ilan sa mga ito ay naibalik na sa kanilang bansa para harapin ang kasong kinasasangkutan.,“They were also placed in our blacklist to prevent them from re-entering the country,” sabi ni Morente kasabay ng pagsasabing ang pananatili sa bansa ng mga wanted na dayuhan ay nagsisilbing banta sa seguridad ng bansa.,Aniya, ang nasabing bilang na naitala noong nakaraang taon ay mas marami kung ikukumpara noong 2015 kung saan nasa 61 wanted alien criminals ang bumagsak sa mga tauhan ng BI.,Ipinangako ni Moren­te na magpapatuloy ang ahensya sa paghahanap sa iba pang dayuhang wan­ted na nagtatago sa iba’t ibang bahagi ng bansa.,Sa datos ng Fugitive Search Unit (FSU) ng BI, na­nguna sa listahan ng mga naakip na dayuhan ay ang South Koreans na nasa 80 indibiduwal na sinusundan ng 25 Chinese national at 19 na Americans.,Kabilang rin sa maraming nahuling dayuhan ay Taiwanese na tatlo; dalawang Canadians, tig-iisang Australian, Japanese, German, Pakistani, Bangladeshi at Kazakhstani.",,
MRT na-Biyernes Trese,,"Tatlong beses tumirik ang biyahe ng Metro Rail Transit (MRT) kahapon, Biyernes Trese.,Sa abiso ng MRT sa Twitter, alas-7:29 ng umaga unang nagka-a­berya ang biyahe ng tren at pinababa ang mga pa­sahero sa bahagi ng Shaw Boulevard (southbound) station dahil sa technical problem.,Muling tumirik ang isang biyahe ng tren bandang alas-8:25 ng umaga sa bahagi naman ng Aya­la station (southbound) at napilitang lumipat sa kasunod na tren ang mga nagmamadaling pasahero.,Pumangatlong aber­ya ang naitala bandang alas-12:23 ng tanghali nang muling magpababa ng mga pasahero sa isang tren ng MRT sa bahagi ng Santolan station (northbound) dahil din sa technical problem.,Noong Huwebes bandang alas-siyete ng gabi kung saan rush hour, tumirik din ang isang tren ng MRT sa Guadalupe station (northbound).,Hindi na bago ang ganitong aberya sa biyahe ng MRT kaya lumala­kas ang panawagan na ayu­sin ang serbisyo ng mass transport system.",,
Residente sa hacienda inuulan ng bala,,"Labis na nangangamba ngayon sa kanilang seguridad ang mahigit sa 100 residenteng nakatira sa umanoy pinag-aagawang lupain na nasa boundary ng Muntinlupa City at San Pedro Laguna matapos umano tatlong beses na paulanan ng bala ng grupo ng mga armadong kalalakihan sa kanilang lugar kamakailan.,Sa isang pulong balitaan na ginanap sa Macapagal Avenue, Pasay City, humarap kahapon sa mga mamamahayag ang ilang residente ng Carlos Young Property na mas kilala sa pangalang Hacienda De San Pedro De Tunasan sa pangunguna ng careta­ker na si Levi Jobo Jr., 45-anyos, upang iparating sa mga kinauukulan lalo na sa pulisya ang kanilang hinaing hinggil sa ginagawang pananakot sa kanila.,Kung saan labis silang nangangamba sa kanilang seguridad dahil noong Enero 5, 8 at 9 ng taong kasaluku­yan ay tatlong beses silang pinaulanan ng bala ng grupo ng armadong kalalakihan gamit ang mga armalite M-16 rifle.,Dahilan upang i-report nila ang insidente sa tanggapan ng Criminal Investigation and Detection Group (CIDG) sa San Pedro, Laguna.,Ayon kay Jobo ang naturang lupain na kanilang tinitirhan ay pag-aari umano ni Carlos Young, subalit kini-claimed umano ng negosyanteng si Oliver Laperal na sila ang may-ari ng naturang property.,Pinagpapaliwanag din ng mga residente ang tanggapan ni San Pedro, Laguna Mayor Lourdes Cataquiz kung ano ang kaugnayan nito sa naturang lupain.,Dahil nang magbakod umano ang grupo ni Laperal nakalagay sa tarpaulin ang pangalan ng alkalde.",,
Silip-selda tinatrabaho ni De Lima,,"Pinasisilip na rin ni Sen. Leila de Lima ang kasalukuyang sitwasyon ngayon ng mga kulungan sa buong bansa upang iangat ang kalagayan ng mga preso sa “makataong lebel”.,Sa inihaing resolution no. 97 ni De Lima, hiniling nito sa Senate justice and human rights committee na bigyang prayoridad ang kalagayan ngayon ng mga kulungan dahil sa nakikitang nakakaawang sitwasyon ng mga presong nagsisiksikan sa loob na kadalasang ugat din ng pagkakasakit ng mga ito.,Diin pa ng senadora, “They (inmates) may have transgressed the bounds of laws and rules of our society, but prisoners are still human beings who deserve to enjoy the basic rights to live decently and with dignity.”",,
"Meeting ni PDU30 sa 1K mayor, ‘heart to heart’",,"Confidential at ta­patan umano ang na­ging pakikipag-usap ni Pa­ngulong Rodrigo Duterte sa mahigit 1,000 mga alkalde sa buong bansa na kanyang ipinatawag hinggil sa problema sa ilegal na droga sa Palasyo ng Malacañang kamakalawa ng hapon.,“He (President Duterte) wanted to talk to them in a very intimate manner… I was not informed kung ano iyong pag-uusapan. It was highly confidential,” pahayag ni Presidential Communications Secretary Martin Andanar sa isang panayam kahapon nang uriratin sa kinalabasan ng pakikipag-meeting ng Pangulo sa mga local government executives sa Malacañang.,Bagama’t hindi nai­detalye ang naging tampok sa pag-uusap ay sinabi ni Andanar na dumating ang mga mayors sa tatlong batch — mula sa Luzon, Visayas at Mindanao.,“What I can tell you, it was a heart to heart talk between the President and the mayors. It was amplifying the message of the President on the illegal drugs. Alam naman natin na iyan ang priority policy ng President,” dagdag ng PCO chief.",,
Labanan ang ‘death culture’,,"Kailangang manindigan ang sambayanan laban sa kultura ng pamamaslang.,Ito ang panawagan ni Manila Auxiliary Bishop Broderick Pabillo sa mamamayan sa patuloy na pagtaas ng kaso ng extrajudicial killings (EJK) sa buong bansa.,Base sa tala ng Philippine National Police (PNP), umaabot ng 6,200 ang napapatay sa giyera kontra ilegal na droga ng administrasyong Duterte.,Inihayag ni Bishop Pabillo, chairman ng Catholic Bishops’ Conference of the Philippines-Episcopal Commission on the Laity, naninindigan at tumututol ang halos 99.9% ng mga layko na binubuo ng 52-lay organization at institutions sa nangyayaring “culture of death” sa bansa.,“If we are silent, and we are made silent, dahil sa pananakot, dahil sa pagbabanta, we will go to the culture of death. That death is seen as a solution to our problems… which is not good,” pahayag ni Bishop Pabillo.",,
VP LENI: RESPETO NAMAN!,,"Bagama’t ayaw pa­lakihin ang pagbawi sa imbitasyon sa Vin d’honneur, hindi nagustuhan ni Vice President Leni Robredo ang tila hindi pagrespeto ng Malacañang sa Office of the Vice President (OVP).,Sa ambush interview kay Robredo sa ­Tondo kahapon, inamin nito na dadalo sana ito sa nasabing pagtitipon ng international community na taunang ginagawa sa Palasyo ng Malacañang matapos makatanggap ng imbitasyon ang kanyang tanggapan noong Dis­yembre 28.,“Tumawag sa akin ang aking Chief of Staff, sinasabi niya na mayroon tayong imbitasyon, mag-aattend ka ba? Sabi ko sige, kung inimbitahan tayo, mag-aattend tayo. Kaya lang noong January 4, parang tinext ata iyong Office namin na parang disinvited na. Ang dahilan ata limited seats,” ani Robredo.,Hindi naman umano big deal kay Robredo ang pagbawi ng Palasyo sa kanyang imbitasyon na idinaan lang sa text message subalit hindi na nito nagugustuhan ang nangyari.,“Nakakawalang gana lang doon iyong manner kung paano ginagawa ang mga bagay. Kasi kung galit sa akin, galit sa akin. Pero sana bigyan naman ng kaun­ting res­peto ang opisina,” ani ­Robredo.,Idinepensa ng Malacañang na preroga­tibo ng mga ito kung sino ang iimbitahan sa mga pagtitipon sa Palasyo na iginagalang naman umano ni Robredo subalit muling idiniin na hindi nito nagustuhan ang ginagawa sa kanya.,“Wala naman akong magagawa dahil gaya ng sabi nila hawak naman nila kung sino ang imbitado o hindi. Ang sa akin hindi naman iyon sa pag-imbita, iyong manner lang parang… basta… wala namang… pero para sabihing binabawi ang imbitasyon dahil wala ng upuan parang nakakatawa,” ayon pa kay ­Robredo.,Tanging si ­Robredo ang hindi naimbitahan sa mga top elected go­vernment officials sa nasabing pagtitipon na dinaluhan ng mga ambassador ng iba’t ibang bansa na nakatalaga sa Pilipinas.",,
Marikina City Jail nabulabog,,"Nabulabog ang mga preso ng Marikina City Jail nang magsagawa ng surprise ‘Greyhound Ope­ration’ ang pinagsa­nib puwersa ng mga tauhan ng Bureau of Jail Ma­nagement and Penology (BJMP) at Marikina City Police upang alamin kung may mga kontrabandong itinatago sa kani-kanilang selda kahapon ng umaga sa Marikina City.,Bandang alas-sais ng umaga nang isagawa ng mga jail officer ang pag­halughog sa loob ng piitan, na ang layunin ay kumpiskahin ang mga kontrabando sa loob ng piitan.,Bigo naman ang ins­pection team na makakumpiska ng mga iligal na droga, mga armas, deadly weapons at sa halip ay nakarekober ng mga notebook, ballpen, steel utensil, mga gamit sa pang-tattoo, mga lubid, na maaa­ring gamiting pangbigti, mga ‘di gamit na aluminum foil, mga kahoy na maaaring ipamalo, lighter, alcohol, kutsara at tinidor, personal na mga gamit ng mga inmate at mga recyclable materials tulad ng mga plastic containers at mga lata.",, Sige nga… paano? — Gordon
