title,category,content,,
Online gambling ni Kim Wong tagilid,,"DAVAO CITY – Bilang na ang maliligayang araw ng  ‘colorum online gambling’  business ni  Kim Wong sa Philippine Economic Zone Authority (PEZA) accredited buildings.,Sinabi kahapon ni PEZA Director-General Charito Plaza, palalayasin nila sa mga gusali na klasipikado bilang “vertical economic zone” ang mga business process outsourcing company na sangkot sa online gambling dahil hindi kasama sa mandato ng PEZA ang operasyon ng online gambling.,Ani Plaza, tanging ang Philippine Amusement and Gaming Corporation (Pagcor) lang ang may kapangyarihan na magbigay ng prankisa sa online gambling.,Ikinuwento ni Plaza sa sidelines ng PH-Japan Business Economic Forum sa lungsod kahapon, isa sa nabuko nilang lumabag sa nasabing patakaran ang mga Yuchengco o may-ari ng RCBC Tower sa Makati City na klasi-pikado bilang vertical economic zone ng PEZA pero nagpaupa sa kanilang gusali ng kompanya na sangkot sa online casino na ang permit ay mula sa Cagayan Economic Zone Authority (CEZA).,“Yun ang nangyari sa RCBC Tower for example sa Makati ini-allow nila ‘yung locator ng CEZA, sa ini-accredit ng PEZA na building, ang nangyari sa RCBC, andoon ‘yung BPOs namin, vertical eco zone, naglagay sila ng online gambling. They thought CEZA is under PEZA, so nag-rent ngayon ‘yung locator ng CEZA na online gambling pala. Wala ‘yun sa aming mandate, ‘yung mga casino, PAGCOR ‘yun. Ipinatawag ko ‘yung may-ari ng RCBC, ‘yung lahat ng BPO, ‘yung legal na BPO, sinabi ko sa kanila, ilagay ninyo sa door ninyo ang inyong PEZA accreditation, so lahat, all other occupants of that building,” ani Plaza.,Binigyan-diin ni Plaza, gaya ng pahayag ni Pangulong Rodrigo Duterte, walang napapala ang gobyerno sa operas-yon ng online gambling sa bansa dahil ang isinusugal na pera ay sa ibang bansa napupunta at hindi sa Filipinas.,“Yung betting nila wala sa atin, sa abroad nila inilalagay ang pera, wala tayong tax na nakukuha. ‘Yun ang ano ni presidente,” dagdag niya.,Noong Setyembre 2015 ay napaulat na sinalakay ng mga ahente ng National Bureau of Investigation (NBI) at Criminal Investigation and detection Group (CIDG) ang Xing Qi Ba online casino  na pagmamay-ari ni Wong sa RCBC Bldg., sa Ayala at Buendia Avenues, Makati City.,Matatandaan,  nabulgar din ang koneksiyon ni Wong at ng RCBC sa kontrobersiyal na $81-M money laundering case o ang ilegal na paglilipat sa account ng anim na Filipino sa RCBC Jupiter branch mula sa Bangladesh Bank na i-dedeposito sana sa Federal Reserve Bank sa New Yok noong Pebrero 2016.,Sa imbestigasyon sa Senado, itinuro ni RCBC bank manager Maya Deguito si online gambling operator Kim Wong na nakabase sa CEZA, bilang utak ng nasabing krimen.,Si Wong ay may-ari ng Eastern Hawaii Casino na nag-o-operate sa CEZA at kilalang nasa likod ng malalaking gambling o-perations sa bansa.,ni ROSE NOVENARIO",,
"Tulak patay, 2 pa arestado sa drug ops",,"PATAY ang isang hinihinalang drug pusher makaraan makipagbarilan sa mga pulis habang arestado ang mag-live-in partner sa isinagawang anti-illegal drugs operation sa Caloocan City kahapon ng umaga.,Agad binawian ng buhay sa insidente si Joselito Regis, alyas Dagul, 25, ng Blk. 39, Lot 6, SalayaSalay St., Dagat-Dagatan, Brgy. 12, habang arestado si Arthur de Vera, 42, at live-in partner niyang si Josephine Gracia, 42, kapwa ng Salmon St. ng nasabing lugar.,Batay sa ulat nina SPO2 Frederick Manansala at PO3 Romel Bautista, dakong 10:30 am nagsagawa ng anti-illegal drugs operation ang mga pulis sa Salmon St.,Ngunit nakipagpalitan ng putok sa mga pulis si Regis na kanyang ikinamatay habang naaresto ang dalawa pang suspek.,(ROMMEL SALES)",,
Govs ila-lockdown din sa Palasyo (Pagkatapos ng mayors),,"
DAVAO CITY – Ang mga gobernador sa buong Filipinas ang susunod na pupupulungin ni Pangulong Rodrigo Duterte upang ipaalala sa kanila ang tungkulin na labanan ang illegal drugs sa kanilang mga lalawigan.,Sa kanyang talumpati sa Installation of Board of Trustees and Officers ng Davao City Chamber of Commerce and Industry Inc. (DCCCII) kamakalawa ng gabi sa Marco Polo Hotel, sinabi ng Pangulo, ipatatawag niya ang mga gobernador sa isang pulong sa Palasyo sa susunod na linggo para ikintal sa kanilang isipan na saklaw ng kanilang kapangyarihan ang pagkastigo sa mga alkalde at barangay chairman na sabit sa operasyon ng illegal drugs.,“I’d be calling the governors next week. Sabihin ko talaga sa kanila. You tell your barangay captains, may supervisory powers kayo and ‘yung mga cities under you, ‘yung hindi pa charter cities, you tell the mayors, reiterated to them. But I would like to tell you, hindi ko kaya lektyuran lahat ng ano…” ayon sa Pangulo.,Sinabi ng Pangulo, bibigyan-diin niya sa mga gobernador na seryoso ang kanyang administrasyon sa isinusulong na drug war at handa siyang gawin ang iba’t ibang paraan upang ‘maglaho’ sa mundo ang sino mang sangkot dito, lalo ang opisyal ng gobyerno.,“Huwag kagyud magkumpiyansa sa akin, p***** i**, papatayin talaga kita. Believe me. Hahanapan kita ng ambush, lasunin kita, o…” sabi niya.,Inamin ng Pangulo, nang ipinatawag niya ang mga alkalde sa buong bansa noong nakaraang linggo ay mistula niyang ‘ikinulong’ sa Malacañang, minura at sinermonan kaugnay sa pagkakasangkot ng ilan sa kanila sa illegal drugs at ipinakita ang makapal na narco-list na nakalagay ang pangalan ng ilan sa kanila.,“Baka akala ninyo nagbobolahan tayo rito. I called the mayors in the Philippines, ini-lockdown ko. Kung sabihin ko sa inyo, ‘i-lockdown din dito. Sarahan mo ‘yan diyan mga sundalo… Para walang magtsismis. Sinabi ko talaga sa kanila, totoo iyon and I said, pardon my language because very may mga…’P**** i** ninyo!’ Nandito ‘yung.This is the drug industry of the Philippines. Dito, pulis, barangay captain, mayors, a few governors. Ito na. Lahat ito listahan. Itong mga pictures nila,” aniya.,Muli niyang isinatinig ang labis na poot at pagkadesmaya kay retired police general at ngayo’y Daanbantayan, Cebu Mayor Vicente Loot na ang trabaho bilang militar noon at alkalde ngayon ay bigyan proteksiyon ang sambayanang Filipino pero pasimuno sa illegal drugs operations sa bansa.,“And Loot was there, itong g*** na ito, General Loot. Sabi ko…Alam mo ang masakit sa akin, lahat ng tao, tayo, I am thinking that you’ll protect the people. Here is a guy, military man ito, kasi PC noon e,” aniya.,Muling tiniyak ng Pangulo na hindi niya iaatras hanggang hindi nagtatagumpay sa drug war kahit magbalak pa ang ilang grupo na pabagsakin siya.,“Wala akong…Hindi ako aatras dito. If it causes my downfall, so be it. If I am ousted, I’d glad to go out. Coup d’état? Fine. Let’s have a change of [inaudible] Pero hindi ako aatras dito. Tatapusin ko ito to the very last day. If it takes me six years, then six years, will be it,” giit niya.,Napaulat na bago nagsimula ang meeting ni Duterte noong nakaraang linggo sa 1,400 mayor na hinati sa dalawang batch ay ipinaiwan sa mga alkalde ang kanilang mga gadget.,Maging si ousted president at convicted plunderer Joseph “Erap” Estrada ay dumaan din sa nasabing proseso at walang kibo habang naglilitanya si Duterte nang halos isang oras laban sa illegal drugs.,ni ROSE NOVENARIO",,
Duterte kay Abe: We’re brothers,,"BINISITA ni Japan PM Shinzo Abe at asawang si Akie Abe ang tahanan ni Pangulong Rodrigo Duterte at common-law wife Honeylet Avancena sa Davao City at nagsalo sa isang payak na almusal kahapon ng umaga. Hindi tinanggal ni Pangulong Rodrigo Duterte ang nakataling kulambo sa kanilang silid ni Honeylet at ipinakita ito kay Abe. Sa payak na almusal ay pinagsalohan nila ang biko, suman, kutsinta, at mongo soup. (Mula sa Facebook Account ni Bong Go),DAVAO CITY – “We’re not only friends, we’re brothers.”,Ito ang pahayag kahapon ni Pangulog Rodrigo Duterte nang bumisita si Japan Prime Minister Shinzo Abe at maybahay na si Akie Abe sa tahanan niya sa lungsod kahapon ng umaga.,Umabot sa halos isang oras ang pananatili ng mag-asawang Abe sa bahay ng mga Duterte at isang simple at katutubong almusal ang kanilang pinagsalohan.,Kasama sa inihaing almusal ng Internal House Affairs Office (IHAO) ng Palasyo ang kinilaw na puso ng sa-ging, ginisang monggo sa tinapa na may spinach, mga prutas gaya ng hinog na mangga, suha at rambutan, at mga kakanin tulad ng kutsinta, puto, biko at suman.,Habang ang kanilang ininom ay earl grey black tea, kape at buko juice.,Inilibot ng mga Duterte ang mag-asawang Abe sa iba’t ibang parte ng kanilang bahay tulad ng kanilang silid-tulugan na may nakakabit pang puting kulambo.,Ipinaliwanag ng Pangulo kay Abe, mula pagkabata ay guma-gamit siya ng kulambo kahit saan siya matulog.,Ikinuwento ng Pa-ngulo kay Abe ang pamumuhay nila sa komunidad gayondin ang magandang relasyon ng kanyang pamilya sa mga kapitbahay.,Humanga ang Ja-panese leader sa payak na buhay ni Duterte lalo na’t kilalang may kamay na bakal sa mga kriminal.,Makaraan ang huntahan sa bahay ay nagtungo sina Duterte at Abe sa joint PH-Japan Business Forum sa Waterfront Hotel at sa “naming ceremony” ng isang Philippine Eagle na inampon ni Abe at pinangalanang “Sakura” na ang ibig sabihin ay cherry blossoms.,Si Sakura ang isa sa mga simbolo nang lumalakas na tambalan ng Filipinas at Japan.,Nagsalo muli sa pagkain ng iba’t ibang prutas gaya ng Durian ang mga Duterte at mga Abe at iba pang opisyal ng pamahalaan bago nagtungo sa Mintal, ang pamayanan ng mga Hapon sa lungsod at itinuring na Little Tokyo ng Prewar Philippines.,Pasado 12:00 pm nang umalis ang mga Abe at kanilang opisyal na delegasyon para magtungo sa Australia, ang susunod na bansang kanilang bibisitahin.,Umabot sa halos isang trilyong yen o P433 bilyon ang ipinangakong ayuda ni Abe para sa ekonomiya at infrastructure invesment sa Filipinas sa susunod na limang taon.,(ROSE NOVENARIO)",,
"KFR kabuhayan ng taga-Sulu? (Korean, Pinoy pinalaya ng ASG)",,"DAVAO CITY – Mistulang isang industriya na ang kidnap-for-ransom sa ilang pamayanan sa Sulu na nagiging kabuhayan na ng mga residente sa pamamagitan nang pagbibigay ayuda sa mga kidnaper at pag-aalaga sa kanilang mga bihag.,Sa isang press conference sa Davao City Old Airport, iniharap ni Pre-sidential Adviser on the Peace Process Jesus Dureza ang pinalayang mga bihag na tripulante na sina Park Chul Hong, ship captain at Filipino crew member Glenn Allindajao kahapon.,Sinabi ni Dureza, sina Park at Glenn ay binihag ng sampung armadong lalaki sa MV Dong Bang Giant 2 habang naglala-yag sa karagatan sa Tawi-tawi noong 20 Oktubre.,Isinakay aniya ang dalawang bihag sa speed boat ng mga kidnaper at dinala sa isang karatig bansa na hindi tinukoy, nagtagal sila nang ilang oras doon bago lumipat sa Sulu.,Nang mamatay aniya ang lider ng mga kidnaper na isang Abraham,  i-pinasa ang dalawang bihag sa isang grupo at siyam na beses silang ini-lipat ng lugar sa loob nang mahigit dalawang buwan.,“They had been moved nine times. Everytime they come to the community they are being welcomed and the local communities also protect the takers. So me problema talaga sa area na ‘yan. Pati ordinary ci-tizens sa area,  tumutulong,” ani Dureza.,Dagadag ni Dureza, ginulpi ng unang grupo ang mga bihag, at inusisa hinggil sa pinagtatrabahuhan nilang Korean company.,Pinanindigan ni Dureza na wala siyang alam kung nagbayad ng ransom ang Korean company kapalit nang paglaya ng kanilang mga emple-yado dahil may umiiral na “no ransom policy” ang gobyerno ngunit hindi nila kayang pigilan ang inis-yatiba ng pribadong sektor sakaling nakipagnegosasyson sa mga kidnaper.,Iginiit ni Dureza, ibinigay sa kustodiya niya ang dalawang bihag ni Gov. Sakurtan ng Sulu.,Naniniwala si Dureza na tumulong ang mga tauhan ni Moro National Liberation Front (MNLF) founding chairman Nur Misuari upang mailigtas ang mga bihag mula sa kamay ng kidnapers ngunit wala siyang ibinigay na detalye kung paano nangyari.,“Tumulong ang MNLF. May non-MNLF rin na dati rin tumulong sa akin sa previous engagements.” Aniya.,“First nagpapasalamat ako sa taas na nakauwi pa kami. Almost hopeless na. But since nakauwi kami ng safe with the help of Sir Dureza and the president for assisting us, President Duterte. Thank you,” pahayag ni Alindajao. Sinabi ni Yongjeung Park, Consul and Police Attache, Korean Embassy, “Thank you very much. Especially secretary Dureza and Governor Sakur Tan for their big help for the release.”,May 27 bihag ang nasa kustodiya ng iba’t ibang kidnap for ransom groups sa Mindanao, ayon kay Dureza.,ni ROSE NOVENARIO",,
Walang chopper sa aerial monitoring (Gen. Bato desmayado),,"DESMAYADO si PNP Chief, Director General Ronald Dela Rosa dahil walang chopper ang PNP para sa pagsasagawa ng aerial monitoring para maobserbahan ang traslacion.,Sinabi ni Dela Rosa, wala nang pakinabang ang mga segunda-manong choppers ng PNP na binili noong 2009.,Ayon kay PNP chief, “beyond economic repair” na ang dalawang Robinsons choppers, ibig sabihin ay mas magastos pang ipagawa ang choppers kaysa bumili ng bago.,Ibinunyag din ni Dela Rosa, plano nilang bumili ng dalawang bagong choppers sa taon na ito upang mapalakas pa ang kanilang capability.,Kasama aniya ang choppers sa mga bagong kagamitang bibilhin ng PNP bilang bahagi ng kanilang move-shoot-communicate upgrading program.",,
Obrero kritikal sa taga ng kalugar,,"KRITIKAL ang kalagayan sa pagamutan ng isang construction worker makaraan pagtatagain ng kalugar sa Valenzuela City kamakalawa ng gabi.,Ginagamot sa Valenzuela Medical Center  si Ronie Dignos, 45-anyos, residente sa Dulong Tangke St., Malinta ng nasabing lungsod.,Habang patuloy na pinaghahanap ng mga pulis ang suspek na si Harold Babangla, 36, tricycle driver, ng nasabi ring lugar.,Ayon sa ulat, dakong 8:30 pm habang naglalakad ang biktima nang bigla na lamang pagtatagain ng nasabing suspek sa hindi nabatid na dahilan. (ROMMEL SALES)",,
Ospital na tatanggi sa buntis kakasuhan,,"PLANONG magsagawa ng imbestigasyon si Senadora Rissa Hontiveros kaugnay sa mga insidente nang pagtanggi ng mga ospital sa mga buntis, habang binigyang diin na maaaring makasuhan ng paglabag sa Anti-Hospital Deposit Law ang dalawang ospital na tumangging i-admit ang isang pasyenteng manganganak kamaka-ilan. Matatandaan, nagreklamo ang isang buntis na inabot ng panganganak sa loob ng taxi noong 11 Enero, makaraan tanggihan ng dalawang ospital na unang pinuntahan ng pasyente para manganak.,Sa inisyal na imbestigasyon ni Hontiveros, chair ng Health Committee, hindi tinanggap ng isang public hospital sa Caloocan City ang buntis dahil pre-mature raw ang labor at walang incubator sa naturang ospital para sa sanggol,Dahil dito, napilitang lumipat ang buntis sa pinakama-lapit na ospital ngunit inabot siya ng pagluluwal ng sanggol sa loob ng sinakyang taxi,Sa tulong ng mga rescuer, dinala ang mag-ina sa isang pribadong ospital sa Fairview, Quezon City. Ngunit pinutol lang ang pusod o umbilical cord ng sanggol saka itinaboy sa East Avenue Medical Center dahil hindi raw kakayanin ng pasyente ang bayarin sa pribadong hospital.,Sa East Avenue Medical Center na tumanggap sa mag-ina, hindi nakita ang unang si-nabing premature labor kundi regular anila ang takdang pagsilang ng sanggol.,Iginiit ni Hontiveros, hindi dapat tanggihan ng mga ospital ang pasyente lalo’t emergency na maaaring ikamatay ng pasyente.,Dahil dito, nais ni Hontiveros na may managot sa pagtanggi ng dalawang ospital sa naturang ginang. (CYNTHIA MARTIN)",,
"Hitman, 2 pa tiklo sa Tokhang",,"CAMP OLIVAS, Pampanga – Arestado ang isang hi-nihinalang hitman at dalawa pang kasama sa ikinasang buy-bust operation ng mga operatiba ng Central Luzon Anti-Illegal Task Group kamakalawa ng gabi sa City of San Fernando.,Kinilala ang mga suspek na sina Archie Tulabot alyas Banog, 30, sinasabing miyembro ng gun for hire group; Felipe Elorde, 18, at Dany Lennon, 22, pawang ng Angeles City.,Sa ulat ng pulisya, dakong 11:00 pm, nagsagawa ng buy-bust operation ang mga awtoridad sa bahay ni Tulabot na nagresulta sa pagkakadakip sa kanya at sa dalawang iba pa.,(RAUL SUSCANO)",,
1.4-M deboto lumahok sa traslacion — PNP-NCR,,"
INIULAT ng National Capital Regional Police Office (NCRPO), tinatayang umabot sa 1.4 milyong deboto ang nakibahagi sa prusisyon ng itim na Na-zareno sa lungsod ng Maynila.,Ang nasabing datos ng NCR police ay batay sa mga dumalo mula sa Quirino Grandstand sa Rizal Park, nagsimula ng 5:30 am hanggang 2:00 pm kahapon.,Sa bagal ng andas dahil sa kapal ng tao at mga sumasalubong, nasa bahagi pa lamang ng city hall ng Maynila dakong tanghali kahapon.,Samantala, inilarawang “so far so good” ang situwasyon sa isinasagawang traslacion sa lungsod ng Maynila.,Ito ang ibinalita ni PNP chief, Dir. Gen. Ronald Dela Rosa sa isinagawang initial assessment ng PNP.,Sa kabila nang sina-sabing banta ng panggugulo ng ilan sa mga teroristang grupo.,NAKIISA si Pangulong Rodrigo Duterte sa paggunita ng Pista ng Poong Nazareno kahapon.,Sa kanyang mensahe, sinabi ni Pangulong Duterte, hanga siya sa ma-tinding pananampalata-ya ng milyong deboto ng Black Nazarene, na puspusan ang pagpapaha-yag ng pasasalamat, pe-tisyon at sakripisyo.,Ayon kay Pangulong Duterte, ang ganitong pagpapakita ng pana-nampalataya at walang kapagurang taimtim na pagdarasal ay kahalintulad nang masidhing kampanya laban sa kawalan ng hustisya, kasinunga-lingan, pag-abuso sa kapangyarihan at korupsi-yon.,Inihayag ni Pangulong Duterte, ang kanyang administrasyon ay lubos na nakikibahagi sa kaibuturan ng pananampa-latayang nag-uudyok sa masang Filipino para magsakripisyo araw-araw at makahanap pa ng panahon para magbigay-papuri sa Panginoong sinisimbolo ng Nazareno, ang taong bumalikat ng krus para iligtas ang sangkatauhan.,“My administration has deep empathy for the core of faith that pushes the masses of Filipinos to resort to sacrifice every single day, while still finding a piece of themselves to honor God – whose image we recognize in the man of Nazarene, who carried his cross to redeem the rest of humankind. In His tears, we see our sorrow; and in His agony, we find our solace and strength to triumph against the most insurmountable odds,” ani Pangulong Duterte.,“Through our fervent prayers for the country, let us join the Catholic faithful in the passionate observance of the Feast of the Black Nazarene.”,IPINATUPAD ang one kilometer radius signal jamming sa mobile phones mula sa andas at no-fly zone sa ibabaw ng Quiapo at karatig-lugar sa Maynila kahapon.,Ito ay upang matiyak ang kaligtasan ng mga dumalo sa traslacion ng Itim na Nazareno.,Kaugnay nito, nananatili ang assesment ng Philippine National Police (PNP) na walang “clear at present danger” sa traslacion ng Itim na Nazareno.,Tiniyak ito ni National Capital Region Police Office (NCRPO) director, Chief Supt. Oscar Alba-yalde kasabay nang paglilinaw na wala silang na-monitor hinggil sa presensiya ng terror group na Maute.,Ginawa ng opisyal ang paglilinaw makaraan sabihin kamakailan ni Interior Secretary Ismael Sueno na may intelligence reports sila na nasa Maynila Maute Group.,Binigyang-diin ni Albayalde, kailangan ma-ging alerto upang matiyak ang kaligtasan ng mga deboto., ,MAGING ang buong Malacañang complex ay hindi nakalusot sa ipinatupad na signal jamming sa mobile phone networks sa paggunita ng pista ng Poong Nazareno.,May inilagay na signal jammer sa mismong andas at hanggang 1-kilometer radius ang apektadong area.,Bunsod nito, tanging hand-held radio, internet at landline telephones ang ginagamit sa komunikasyon sa loob ng Malacañang.,DESMAYADO si PNP Chief, Director General Ronald Dela Rosa dahil walang chopper ang PNP para sa pagsasagawa ng aerial monitoring para maobserbahan ang traslacion.,Sinabi ni Dela Rosa, wala nang pakinabang ang mga segunda-manong choppers ng PNP na binili noong 2009.,Ayon kay PNP chief, “beyond economic repair” na ang dalawang Robinsons choppers, ibig sabihin ay mas magastos pang ipagawa ang choppers kaysa bumili ng bago.,Ibinunyag din ni Dela Rosa, plano nilang bumili ng dalawang bagong choppers sa taon na ito upang mapalakas pa ang kanilang capability.,Kasama aniya ang choppers sa mga bagong kagamitang bibilhin ng PNP bilang bahagi ng kanilang move-shoot-communicate upgrading program.,INIKOT ni PNP chief, Director General Ronald Dela Rosa ang mismong Andas o karosa ng Poong Nazareno upang inspeksiyonin at personal na makita ang situwasyon sa isinagawang traslacion kahapon.,Ngunit pinagkaguluhan siya ng mga deboto nang makita siya sa lugar.,Kanya-kanyang kuha ng larawan ang mga deboto sa PNP chief.,Nasa ilalim ng Quezon Boulevard ang Andas nang magtungo si Dela Rosa.,Makaraan inspeksyonin ang Andas o karosa, agad dumiretso sa monitoring center ng PNP sa lugar si Dela Rosa.",,
